Red,Green,Blue
0.231, 0.308, 0.462
0.231, 0.308, 0.462
0.200, 0.300, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.200, 0.200, 0.600
0.200, 0.200, 0.600
0.200, 0.200, 0.600
0.200, 0.200, 0.600
0.200, 0.200, 0.600
0.200, 0.200, 0.600
0.167, 0.333, 0.500
0.200, 0.200, 0.600
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.200, 0.200, 0.600
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.200, 0.200, 0.600
0.167, 0.333, 0.500
0.200, 0.200, 0.600
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.167, 0.333, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
0.250, 0.250, 0.500
