Red,Green,Blue
0.238, 0.476, 0.286
0.250, 0.450, 0.300
0.250, 0.450, 0.300
0.250, 0.450, 0.300
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.250, 0.450, 0.300
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.263, 0.474, 0.263
0.250, 0.450, 0.300
0.238, 0.476, 0.286
0.261, 0.478, 0.261
0.238, 0.476, 0.286
0.250, 0.450, 0.300
0.222, 0.500, 0.278
0.235, 0.471, 0.294
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.235, 0.471, 0.294
0.222, 0.500, 0.278
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.273, 0.455, 0.273
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.261, 0.478, 0.261
0.250, 0.458, 0.292
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.273, 0.455, 0.273
0.273, 0.455, 0.273
0.261, 0.478, 0.261
0.261, 0.478, 0.261
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.250, 0.458, 0.292
0.261, 0.478, 0.261
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.222, 0.500, 0.278
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.235, 0.471, 0.294
0.250, 0.500, 0.250
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.231, 0.538, 0.231
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.231, 0.538, 0.231
0.231, 0.538, 0.231
0.214, 0.500, 0.286
0.214, 0.500, 0.286
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.222, 0.500, 0.278
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.222, 0.500, 0.278
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.250, 0.500, 0.250
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.286, 0.429, 0.286
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.267, 0.467, 0.267
0.286, 0.429, 0.286
0.286, 0.429, 0.286
0.231, 0.462, 0.308
0.231, 0.462, 0.308
0.273, 0.455, 0.273
0.273, 0.455, 0.273
0.250, 0.417, 0.333
0.286, 0.429, 0.286
0.250, 0.437, 0.312
0.278, 0.444, 0.278
0.263, 0.421, 0.316
0.263, 0.421, 0.316
0.278, 0.444, 0.278
0.278, 0.444, 0.278
0.263, 0.421, 0.316
0.263, 0.421, 0.316
0.250, 0.450, 0.300
0.250, 0.450, 0.300
0.250, 0.450, 0.300
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.250, 0.450, 0.300
0.250, 0.450, 0.300
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.273, 0.455, 0.273
0.238, 0.476, 0.286
0.273, 0.455, 0.273
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.238, 0.476, 0.286
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.263, 0.474, 0.263
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.222, 0.500, 0.278
0.235, 0.471, 0.294
0.235, 0.471, 0.294
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.250, 0.500, 0.250
0.267, 0.467, 0.267
0.267, 0.467, 0.267
