Red,Green,Blue
0.250,0.250,0.500
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.500,0.500
0.000,0.333,0.667
0.000,0.500,0.500
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.250,0.250,0.500
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.250,0.250,0.500
0.250,0.250,0.500
0.250,0.250,0.500
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.250,0.250,0.500
0.250,0.250,0.500
0.200,0.400,0.400
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
0.000,0.333,0.667
