Red,Green,Blue
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.500,0.000,0.500
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.667,0.000,0.333
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.500,0.000,0.500
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.500,0.000,0.500
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.600,0.200,0.200
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.167,0.333
0.600,0.200,0.200
0.600,0.200,0.200
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.250,0.250
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
0.667,0.000,0.333
