Red,Green,Blue
0.333,0.396,0.271
0.370,0.391,0.239
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.391,0.391,0.217
0.383,0.404,0.213
0.383,0.404,0.213
0.383,0.404,0.213
0.383,0.404,0.213
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.391,0.391,0.217
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.378,0.400,0.222
0.391,0.391,0.217
0.383,0.404,0.213
0.383,0.404,0.213
0.383,0.404,0.213
0.383,0.404,0.213
0.370,0.413,0.217
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.395,0.395,0.209
0.395,0.395,0.209
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.386,0.409,0.205
0.386,0.409,0.205
0.386,0.409,0.205
0.381,0.405,0.214
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.390,0.390,0.220
0.390,0.390,0.220
0.375,0.400,0.225
0.385,0.410,0.205
0.390,0.390,0.220
0.381,0.405,0.214
0.381,0.405,0.214
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.381,0.405,0.214
0.390,0.390,0.220
0.381,0.405,0.214
0.366,0.415,0.220
0.385,0.410,0.205
0.385,0.410,0.205
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.390,0.390,0.220
0.395,0.395,0.209
0.395,0.395,0.209
0.395,0.395,0.209
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.390,0.390,0.220
0.390,0.390,0.220
0.390,0.390,0.220
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.385,0.410,0.205
0.385,0.410,0.205
0.385,0.410,0.205
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.375,0.400,0.225
0.390,0.390,0.220
0.390,0.390,0.220
0.381,0.405,0.214
0.381,0.405,0.214
0.381,0.405,0.214
0.395,0.395,0.209
0.395,0.395,0.209
0.378,0.400,0.222
0.386,0.386,0.227
0.378,0.400,0.222
0.354,0.396,0.250
0.354,0.385,0.262
0.381,0.381,0.238
0.387,0.387,0.226
0.377,0.393,0.230
0.393,0.377,0.230
0.387,0.387,0.226
0.393,0.377,0.230
0.400,0.383,0.217
0.400,0.383,0.217
0.400,0.383,0.217
0.400,0.383,0.217
0.400,0.383,0.217
0.400,0.383,0.217
0.397,0.381,0.222
0.397,0.381,0.222
0.397,0.381,0.222
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.387,0.387,0.226
0.397,0.381,0.222
0.397,0.381,0.222
0.397,0.381,0.222
0.394,0.379,0.227
0.397,0.382,0.221
0.400,0.371,0.229
0.403,0.375,0.222
0.403,0.375,0.222
0.403,0.375,0.222
0.411,0.370,0.219
0.411,0.370,0.219
0.411,0.370,0.219
0.405,0.378,0.216
0.411,0.370,0.219
0.411,0.370,0.219
0.403,0.375,0.222
0.403,0.375,0.222
0.403,0.375,0.222
0.403,0.375,0.222
0.403,0.375,0.222
0.411,0.370,0.219
0.411,0.370,0.219
0.405,0.378,0.216
0.405,0.378,0.216
0.405,0.378,0.216
0.408,0.368,0.224
0.408,0.368,0.224
0.410,0.372,0.218
0.410,0.372,0.218
0.407,0.370,0.222
0.407,0.370,0.222
0.410,0.373,0.217
0.412,0.365,0.224
0.409,0.364,0.227
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.416,0.360,0.225
0.414,0.368,0.218
0.414,0.368,0.218
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.420,0.364,0.216
0.416,0.371,0.213
0.413,0.370,0.217
0.422,0.367,0.211
0.418,0.363,0.220
0.415,0.372,0.213
0.415,0.372,0.213
0.415,0.372,0.213
0.415,0.372,0.213
0.419,0.366,0.215
0.419,0.366,0.215
0.413,0.370,0.217
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.418,0.363,0.220
0.413,0.370,0.217
0.419,0.366,0.215
0.419,0.366,0.215
0.415,0.362,0.223
0.413,0.370,0.217
0.418,0.363,0.220
0.411,0.367,0.222
0.418,0.363,0.220
0.413,0.370,0.217
0.413,0.370,0.217
0.419,0.366,0.215
0.419,0.366,0.215
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.418,0.363,0.220
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.404,0.371,0.225
0.393,0.371,0.236
0.393,0.371,0.236
0.404,0.371,0.225
0.400,0.367,0.233
0.400,0.367,0.233
0.393,0.371,0.236
0.393,0.371,0.236
0.393,0.371,0.236
0.393,0.371,0.236
0.393,0.371,0.236
0.393,0.371,0.236
0.393,0.371,0.236
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.389,0.367,0.244
0.389,0.367,0.244
0.396,0.363,0.242
0.396,0.363,0.242
0.389,0.367,0.244
0.389,0.367,0.244
0.385,0.363,0.253
0.389,0.367,0.244
0.391,0.368,0.241
0.391,0.368,0.241
0.393,0.371,0.236
0.389,0.367,0.244
0.400,0.367,0.233
0.400,0.367,0.233
0.400,0.367,0.233
0.393,0.371,0.236
0.402,0.368,0.230
0.398,0.375,0.227
0.398,0.375,0.227
0.404,0.371,0.225
0.404,0.371,0.225
0.411,0.367,0.222
0.411,0.367,0.222
0.404,0.371,0.225
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.411,0.367,0.222
0.418,0.363,0.220
0.411,0.367,0.222
0.416,0.371,0.213
0.416,0.371,0.213
0.420,0.364,0.216
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.404,0.371,0.225
0.393,0.371,0.236
0.391,0.368,0.241
0.395,0.372,0.233
0.402,0.368,0.230
0.407,0.372,0.221
0.414,0.368,0.218
0.414,0.368,0.218
0.414,0.379,0.207
0.414,0.379,0.207
0.414,0.379,0.207
0.414,0.379,0.207
0.419,0.372,0.209
0.419,0.372,0.209
0.412,0.376,0.212
0.412,0.376,0.212
0.419,0.372,0.209
0.419,0.372,0.209
0.414,0.379,0.207
0.414,0.379,0.207
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.411,0.378,0.211
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.416,0.371,0.213
0.409,0.375,0.216
0.414,0.368,0.218
0.414,0.368,0.218
0.407,0.372,0.221
0.402,0.368,0.230
0.405,0.369,0.226
0.402,0.378,0.220
0.405,0.369,0.226
0.412,0.376,0.212
0.416,0.371,0.213
0.416,0.371,0.213
0.404,0.382,0.213
0.407,0.385,0.209
0.404,0.382,0.213
0.407,0.384,0.209
0.407,0.384,0.209
0.412,0.376,0.212
0.412,0.376,0.212
0.407,0.384,0.209
0.407,0.384,0.209
0.409,0.386,0.205
0.409,0.386,0.205
0.409,0.386,0.205
0.404,0.382,0.213
0.400,0.389,0.211
0.400,0.389,0.211
0.400,0.389,0.211
0.407,0.385,0.209
0.407,0.385,0.209
0.400,0.389,0.211
0.400,0.389,0.211
