Red,Green,Blue
0.167,0.389,0.444
0.167,0.389,0.444
0.187,0.375,0.437
0.176,0.412,0.412
0.176,0.412,0.412
0.167,0.389,0.444
0.167,0.389,0.444
0.200,0.400,0.400
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.182,0.409,0.409
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.167,0.389,0.444
0.167,0.389,0.444
0.167,0.389,0.444
0.176,0.412,0.412
0.176,0.412,0.412
0.187,0.375,0.437
0.187,0.375,0.437
0.167,0.389,0.444
0.176,0.412,0.412
0.187,0.375,0.437
0.214,0.357,0.429
0.167,0.417,0.417
0.167,0.417,0.417
0.214,0.357,0.429
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.214,0.357,0.429
0.214,0.357,0.429
0.231,0.385,0.385
0.167,0.417,0.417
0.167,0.417,0.417
0.167,0.417,0.417
0.214,0.357,0.429
0.214,0.357,0.429
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.187,0.375,0.437
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.176,0.412,0.412
0.176,0.412,0.412
0.176,0.412,0.412
0.176,0.412,0.412
0.167,0.389,0.444
0.167,0.389,0.444
0.167,0.389,0.444
0.211,0.368,0.421
0.200,0.400,0.400
0.190,0.381,0.429
0.174,0.391,0.435
0.208,0.375,0.417
0.192,0.385,0.423
0.192,0.385,0.423
0.192,0.385,0.423
0.192,0.385,0.423
0.192,0.385,0.423
0.185,0.370,0.444
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.192,0.385,0.423
