Red,Green,Blue
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.667,0.133,0.200
0.667,0.133,0.200
0.667,0.133,0.200
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.625,0.187,0.187
0.667,0.133,0.200
0.667,0.133,0.200
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.714,0.143,0.143
0.667,0.133,0.200
0.687,0.125,0.187
0.687,0.125,0.187
0.706,0.118,0.176
0.706,0.118,0.176
0.706,0.118,0.176
0.722,0.111,0.167
0.706,0.118,0.176
0.706,0.118,0.176
0.722,0.111,0.167
0.684,0.158,0.158
0.684,0.158,0.158
0.684,0.158,0.158
0.667,0.167,0.167
0.667,0.167,0.167
0.687,0.125,0.187
0.687,0.125,0.187
0.667,0.133,0.200
0.667,0.133,0.200
0.643,0.143,0.214
0.643,0.143,0.214
0.643,0.143,0.214
0.643,0.143,0.214
0.643,0.143,0.214
0.643,0.143,0.214
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.692,0.154,0.154
0.643,0.143,0.214
0.667,0.133,0.200
0.667,0.133,0.200
0.667,0.133,0.200
0.667,0.133,0.200
0.667,0.133,0.200
0.667,0.133,0.200
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.687,0.125,0.187
0.706,0.118,0.176
0.706,0.118,0.176
0.706,0.118,0.176
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
