Red,Green,Blue
0.250,0.536,0.214
0.231,0.538,0.231
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.222,0.556,0.222
0.222,0.556,0.222
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.241,0.517,0.241
0.241,0.517,0.241
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.222,0.556,0.222
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.222,0.556,0.222
0.222,0.556,0.222
0.222,0.556,0.222
0.250,0.536,0.214
0.250,0.536,0.214
0.250,0.536,0.214
0.241,0.552,0.207
0.233,0.533,0.233
0.233,0.533,0.233
0.226,0.548,0.226
0.250,0.531,0.219
0.235,0.529,0.235
0.235,0.529,0.235
0.235,0.529,0.235
0.229,0.543,0.229
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.250,0.528,0.222
0.243,0.514,0.243
0.243,0.514,0.243
0.250,0.528,0.222
0.250,0.528,0.222
0.235,0.529,0.235
0.229,0.543,0.229
0.229,0.543,0.229
0.229,0.543,0.229
0.229,0.543,0.229
0.229,0.543,0.229
0.229,0.543,0.229
0.242,0.545,0.212
0.226,0.548,0.226
0.222,0.556,0.222
0.231,0.538,0.231
0.231,0.538,0.231
0.231,0.538,0.231
0.250,0.542,0.208
0.217,0.565,0.217
0.217,0.565,0.217
0.250,0.542,0.208
0.240,0.520,0.240
0.240,0.520,0.240
0.240,0.520,0.240
0.240,0.520,0.240
0.250,0.542,0.208
0.250,0.542,0.208
0.250,0.542,0.208
0.250,0.542,0.208
0.250,0.542,0.208
