aX,aY,aZ,gX,gY,gZ
0.799,-0.264,-1.374,-44.617,-26.978,-34.119
0.685,-0.294,-1.690,-66.956,-76.599,-33.264
0.440,-0.183,-1.891,-89.417,-162.720,-19.043
0.060,0.104,-1.631,-90.210,-301.758,3.906
-0.185,0.457,-1.138,-47.913,-463.989,27.588
-0.453,0.688,-0.396,-57.861,-608.582,32.349
-0.593,0.810,0.490,-117.126,-709.229,24.719
-0.674,0.911,1.328,-162.781,-762.512,-25.391
-0.731,0.601,2.117,-154.846,-770.081,-95.825
-0.650,0.324,2.856,-162.415,-716.675,-145.935
-0.525,-0.005,3.445,-151.611,-604.919,-170.654
-0.380,-0.397,3.760,-114.197,-451.782,-177.002
-0.262,-0.687,3.718,-81.543,-272.705,-166.504
-0.141,-0.776,3.303,-49.805,-86.792,-140.869
-0.031,-0.778,2.628,2.380,73.120,-96.191
0.062,-0.587,1.976,43.945,177.124,-30.396
0.193,-0.296,1.480,66.101,219.727,28.320
0.326,-0.052,1.129,69.275,214.783,62.195
0.424,0.142,0.897,38.696,175.842,72.510
0.479,0.249,0.826,0.427,125.183,65.247
0.508,0.229,0.881,-20.325,78.308,42.725
0.509,0.133,1.006,-33.081,51.453,19.531
0.508,0.057,1.092,-41.504,49.316,5.615
0.488,-0.034,1.087,-33.142,62.683,-0.549
0.498,-0.117,1.062,-22.156,83.313,-1.343
0.482,-0.176,1.028,-16.846,105.957,2.563
0.473,-0.197,0.971,-15.320,127.747,9.033
0.486,-0.183,0.883,-11.230,146.667,16.296
0.522,-0.145,0.809,-4.883,157.898,22.766
0.544,-0.175,0.756,5.005,157.349,23.804
0.538,-0.157,0.732,11.230,152.466,27.771
0.538,-0.128,0.710,17.517,148.193,35.095
0.555,-0.094,0.692,26.794,144.165,41.443
0.567,-0.041,0.669,31.982,141.113,46.326
0.582,0.018,0.632,33.691,140.747,49.500
0.609,0.097,0.581,33.386,141.113,50.049
0.631,0.115,0.525,38.391,139.099,45.410
0.670,0.099,0.492,35.339,133.606,38.757
0.695,0.060,0.488,23.682,125.977,31.067
0.700,0.051,0.491,12.817,118.835,27.588
0.718,0.035,0.484,14.954,110.229,27.344
0.750,0.051,0.483,14.099,102.173,29.358
0.761,0.067,0.489,9.033,94.788,30.151
0.767,0.067,0.492,2.319,89.233,27.466
0.778,0.063,0.485,-4.395,84.595,23.560
0.788,0.058,0.481,-8.911,79.773,20.081
0.802,0.057,0.479,-9.521,73.730,15.991
0.819,0.049,0.482,-8.240,68.054,13.550
0.818,0.052,0.493,-5.371,62.988,11.658
0.813,0.047,0.497,-3.662,59.937,10.498
0.815,0.061,0.496,-4.028,59.937,10.254
0.824,0.081,0.494,-2.502,61.523,10.315
0.842,0.086,0.492,2.502,62.988,8.850
0.848,0.078,0.490,8.118,63.477,5.005
0.862,0.055,0.486,9.766,64.636,0.610
0.861,0.027,0.471,6.042,66.772,-1.831
0.877,0.011,0.458,-0.122,70.313,-3.235
0.872,-0.006,0.445,-2.319,72.571,-3.784
0.869,-0.027,0.436,-1.343,73.425,-3.418
0.856,-0.029,0.442,-0.977,74.341,-1.831
0.865,-0.029,0.431,2.441,77.515,0.854
0.886,-0.015,0.404,8.301,81.604,5.554
0.879,0.020,0.380,13.123,83.496,10.376
0.896,0.042,0.353,20.020,83.008,12.329
0.897,0.057,0.343,24.048,80.139,11.536
0.874,0.074,0.330,25.696,77.637,9.277
0.891,0.082,0.305,27.283,78.735,6.592
0.889,0.066,0.281,26.489,78.674,3.052
0.890,0.047,0.267,23.621,77.393,-0.549
0.890,0.037,0.260,21.118,75.073,-1.831
0.893,0.032,0.252,22.156,71.960,-2.014
0.892,0.053,0.250,24.048,71.106,-1.892
0.901,0.050,0.229,27.954,71.411,-1.709
0.912,0.041,0.204,26.978,71.045,-3.052
0.919,0.033,0.189,20.447,69.580,-5.371
0.950,0.015,0.177,18.860,67.322,-7.812
0.949,0.006,0.177,20.142,62.927,-7.935
0.963,0.008,0.170,21.606,59.387,-6.531
0.980,-0.006,0.168,20.935,55.969,-6.470
0.980,-0.010,0.185,17.395,52.979,-7.324
0.994,-0.017,0.205,17.578,51.575,-7.263
0.993,-0.020,0.216,19.775,52.063,-5.920
0.997,-0.008,0.216,18.555,55.115,-3.906
0.991,0.002,0.207,16.357,58.350,-2.686
0.989,0.008,0.200,14.648,61.035,-2.747
