aX,aY,aZ,gX,gY,gZ
0.247,0.387,1.710,35.522,12.878,24.170
0.240,0.443,1.972,71.167,40.405,31.616
0.233,0.515,2.207,110.596,82.520,40.649
0.228,0.581,2.457,145.813,140.320,48.767
0.220,0.577,2.641,171.814,220.154,55.359
0.091,0.481,2.657,177.490,326.355,62.317
-0.072,0.367,2.460,163.696,455.872,69.397
-0.145,0.325,2.083,143.066,577.026,71.777
-0.077,0.358,1.630,141.479,673.828,57.190
-0.157,0.138,1.218,149.658,729.614,24.109
-0.128,0.003,0.818,119.202,751.831,15.564
-0.097,-0.079,0.449,90.576,737.000,31.372
0.010,-0.165,0.113,79.895,700.439,50.903
0.147,-0.094,-0.224,59.204,658.813,65.613
0.125,-0.028,-0.504,37.537,611.511,61.462
0.078,0.106,-0.728,28.564,558.960,55.725
0.065,0.248,-0.961,42.786,503.357,47.485
0.105,0.358,-1.153,57.495,440.674,34.790
0.170,0.389,-1.270,52.490,368.774,16.479
0.227,0.307,-1.317,32.471,291.382,-7.446
0.260,0.138,-1.300,6.531,215.698,-27.283
0.306,-0.038,-1.248,-18.738,146.362,-35.034
0.360,-0.163,-1.182,-37.415,85.205,-28.503
0.401,-0.224,-1.107,-49.072,33.875,-13.000
0.444,-0.225,-1.048,-57.922,-7.996,4.761
0.478,-0.172,-0.991,-65.674,-44.922,21.484
0.500,-0.101,-0.917,-68.359,-79.529,33.997
0.510,-0.024,-0.824,-66.284,-111.877,41.138
0.528,0.056,-0.721,-59.082,-138.855,42.603
0.529,0.129,-0.625,-44.800,-159.668,38.086
0.551,0.180,-0.543,-23.804,-174.011,27.466
0.602,0.206,-0.487,-1.709,-184.387,11.597
0.656,0.207,-0.423,15.015,-193.726,-5.737
0.727,0.163,-0.351,25.696,-203.674,-24.902
0.788,0.071,-0.273,27.405,-214.294,-43.396
0.835,-0.021,-0.187,21.301,-225.281,-55.176
0.887,-0.100,-0.088,16.052,-236.389,-58.411
0.901,-0.174,0.011,17.639,-245.239,-55.115
0.915,-0.246,0.099,18.127,-247.131,-46.997
0.915,-0.283,0.178,9.888,-243.103,-32.593
0.902,-0.268,0.247,-0.122,-237.183,-13.245
0.891,-0.222,0.302,-2.136,-230.652,5.310
0.896,-0.155,0.343,2.380,-225.830,20.447
0.903,-0.076,0.392,7.690,-224.731,31.921
0.885,0.009,0.453,7.996,-227.844,38.940
0.862,0.097,0.525,4.822,-230.408,40.710
0.833,0.151,0.599,2.808,-229.736,37.231
0.834,0.196,0.674,0.488,-225.647,31.189
0.839,0.217,0.741,-0.793,-218.079,23.987
0.852,0.207,0.791,-1.587,-205.811,13.977
0.837,0.161,0.820,-4.150,-189.270,2.197
0.812,0.091,0.827,-13.794,-168.396,-6.104
0.774,0.038,0.822,-26.917,-146.667,-8.179
0.769,0.034,0.810,-35.645,-126.831,-2.747
0.787,0.042,0.797,-33.020,-112.183,3.784
0.787,0.041,0.790,-24.048,-103.149,7.935
0.783,0.047,0.800,-19.409,-98.083,10.620
0.769,0.069,0.820,-18.982,-94.727,12.878
0.750,0.107,0.845,-17.700,-90.088,14.709
0.730,0.142,0.854,-14.832,-83.130,15.320
0.714,0.165,0.849,-10.010,-72.876,13.123
0.707,0.177,0.833,-6.592,-61.279,8.911
0.712,0.166,0.812,-4.883,-52.246,3.540
0.723,0.114,0.798,-6.348,-47.058,-1.770
0.722,0.072,0.812,-14.832,-43.213,-5.066
0.714,0.058,0.833,-20.569,-39.978,-3.845
0.708,0.059,0.844,-15.503,-36.987,-0.244
0.701,0.073,0.848,-7.507,-32.410,4.395
0.692,0.092,0.836,-3.601,-25.574,7.690
0.682,0.114,0.820,-4.272,-17.212,8.362
0.680,0.125,0.797,-4.822,-9.277,7.324
0.677,0.123,0.772,-3.540,-4.028,5.188
0.682,0.110,0.754,-3.418,-1.587,2.686
0.686,0.090,0.748,-4.944,-1.099,0.549
0.685,0.076,0.756,-6.836,-1.099,-0.244
0.678,0.076,0.774,-7.935,-0.671,1.038
0.688,0.080,0.789,-6.409,0.427,2.869
0.687,0.087,0.802,-5.249,2.991,4.272
0.681,0.093,0.803,-4.944,7.507,4.639
0.684,0.084,0.789,-3.906,12.939,4.150
0.675,0.086,0.766,-5.066,18.738,4.089
0.670,0.089,0.732,-4.517,23.254,3.967
0.672,0.088,0.696,-1.465,25.269,3.540
0.671,0.092,0.672,1.099,24.780,2.869
0.685,0.084,0.657,2.136,21.973,1.343
0.691,0.063,0.655,-0.610,18.188,0.488
0.686,0.052,0.668,-5.981,15.503,1.221
0.685,0.052,0.681,-8.057,13.123,3.357
0.680,0.053,0.689,-4.639,11.719,6.042
0.679,0.060,0.691,-2.380,11.047,7.874
0.675,0.064,0.688,-2.136,11.230,8.789
0.662,0.082,0.686,-2.686,10.986,9.583
0.669,0.089,0.681,-2.197,11.475,9.399
0.649,0.100,0.680,-1.221,12.817,9.766
0.650,0.124,0.668,0.488,14.343,9.705
0.650,0.120,0.653,6.897,15.076,7.812
0.669,0.128,0.638,8.545,15.259,6.775
0.647,0.135,0.633,5.310,14.771,5.371
0.665,0.146,0.625,3.967,14.038,3.540
0.681,0.123,0.611,4.089,12.756,0.427
0.695,0.099,0.600,-0.793,11.292,-1.892
0.700,0.078,0.596,-6.531,9.216,-3.540
0.705,0.053,0.601,-7.080,5.554,-3.479
0.713,0.039,0.616,-4.150,1.465,-1.831
0.718,0.039,0.641,-2.502,-1.587,0.732
0.721,0.055,0.667,-1.831,-2.747,3.662
