aX,aY,aZ,gX,gY,gZ
0.872,0.071,0.184,-242.065,-75.317,-102.173
0.953,0.066,0.245,-78.552,-21.973,-31.128
0.958,0.063,0.259,-12.817,-2.136,-4.456
0.964,0.066,0.263,-1.648,0.305,-0.610
0.962,0.065,0.262,0.671,1.343,0.244
0.963,0.065,0.255,0.916,2.502,0.671
0.962,0.074,0.250,0.854,3.296,1.221
0.964,0.083,0.242,1.526,3.479,1.526
0.961,0.092,0.240,1.221,2.991,1.709
0.960,0.095,0.238,1.282,2.258,0.977
0.966,0.098,0.241,1.038,1.343,0.610
0.970,0.095,0.252,1.282,0.366,0.061
0.971,0.096,0.268,1.343,-0.488,0.061
0.971,0.097,0.277,1.343,-0.183,0.183
0.973,0.101,0.277,1.160,0.916,0.244
0.974,0.101,0.278,1.221,1.709,0.183
0.970,0.104,0.278,0.793,2.502,0.183
0.968,0.104,0.275,0.671,3.296,0.061
0.973,0.102,0.269,0.366,3.540,-0.244
0.963,0.092,0.271,-0.122,3.418,-0.488
0.966,0.091,0.267,-0.549,3.540,-0.427
0.963,0.087,0.264,-0.122,3.601,-0.183
0.961,0.093,0.263,-0.549,3.601,0.244
0.961,0.090,0.257,-0.549,3.784,0.244
0.957,0.084,0.253,-0.549,3.723,0.000
0.957,0.078,0.251,-0.977,3.418,-0.061
0.957,0.081,0.251,-1.099,2.747,0.122
0.957,0.084,0.257,-0.732,1.953,0.549
0.956,0.084,0.264,-0.244,1.953,0.488
0.958,0.079,0.263,0.122,2.808,0.000
0.958,0.078,0.260,0.000,3.906,-0.305
0.955,0.074,0.255,0.122,4.089,-0.122
0.955,0.072,0.247,-0.427,4.333,0.122
0.958,0.070,0.243,-0.366,4.028,0.244
0.959,0.071,0.247,0.122,2.441,0.427
0.960,0.072,0.259,0.366,1.282,0.793
0.960,0.075,0.264,0.610,1.587,0.977
0.959,0.076,0.268,0.977,1.953,1.038
0.959,0.080,0.268,0.916,2.563,0.977
0.963,0.085,0.267,0.366,3.479,1.099
0.960,0.089,0.266,0.671,3.357,1.160
0.959,0.090,0.264,0.793,3.540,1.038
0.960,0.090,0.259,0.549,3.723,0.793
0.959,0.087,0.253,0.366,3.479,0.549
0.955,0.083,0.248,0.183,2.808,0.610
0.958,0.079,0.247,0.122,2.075,0.854
0.958,0.082,0.257,0.305,1.038,1.221
0.960,0.094,0.267,0.549,0.610,1.770
0.962,0.097,0.264,0.671,1.404,1.587
0.968,0.095,0.260,0.061,2.136,0.732

0.553,0.210,-0.946,5.554,-120.911,-28.076
0.440,0.131,-1.018,2.869,-182.617,-36.560
0.353,0.060,-1.004,1.709,-254.150,-38.818
0.277,-0.050,-0.869,2.869,-336.426,-34.973
0.168,-0.131,-0.612,-9.583,-415.344,-26.306
0.100,-0.187,-0.286,-29.541,-482.666,-10.925
0.085,-0.264,0.138,-43.335,-542.847,5.371
0.043,-0.300,0.671,-64.819,-591.187,23.926
0.074,-0.241,1.209,-93.384,-607.544,49.072
0.233,-0.089,1.708,-108.643,-580.505,72.937
0.274,0.088,2.053,-101.990,-519.836,87.158
0.361,0.259,2.240,-83.374,-424.927,88.257
0.443,0.419,2.276,-65.369,-316.345,81.055
0.442,0.527,2.195,-46.631,-215.454,65.369
0.435,0.538,2.012,-24.841,-128.723,43.823
0.442,0.454,1.798,-7.141,-59.082,21.790
0.443,0.270,1.595,7.141,-11.536,2.319
0.441,0.103,1.443,14.648,15.930,-6.653
0.437,0.029,1.345,17.822,32.288,-2.258
0.454,0.052,1.312,21.912,41.077,11.963
0.477,0.166,1.346,18.127,47.852,28.687
0.478,0.316,1.439,5.920,54.382,37.476
0.502,0.482,1.562,-7.202,64.392,37.476
0.477,0.557,1.637,-15.259,86.121,27.649
0.497,0.510,1.598,-18.433,124.573,7.629
0.483,0.449,1.494,-27.588,172.058,-11.536
0.461,0.374,1.369,-29.358,215.515,-24.597
0.441,0.284,1.224,-13.428,253.540,-31.189
0.463,0.230,1.077,6.042,283.264,-32.227
0.471,0.177,0.920,23.865,304.016,-31.677
0.509,0.172,0.756,32.593,316.895,-28.381
0.545,0.197,0.607,38.208,321.045,-21.973
0.567,0.190,0.450,48.828,316.223,-18.005
0.615,0.184,0.290,45.837,305.298,-15.259
0.666,0.208,0.184,27.893,287.170,-13.733
0.713,0.182,0.120,19.409,264.404,-18.433
0.720,0.112,0.092,21.057,240.540,-23.437
0.730,0.075,0.072,16.907,219.421,-22.827
0.735,0.072,0.054,9.827,202.454,-17.944
0.765,0.097,0.038,7.446,187.256,-13.245
0.792,0.095,0.026,9.155,170.715,-9.521
0.812,0.099,0.026,6.653,155.701,-8.545
0.820,0.117,0.052,2.808,142.151,-7.629
0.807,0.100,0.057,7.446,131.348,-7.385
0.818,0.105,0.033,7.996,125.427,-6.348
0.830,0.108,-0.002,6.836,118.164,-4.822
0.848,0.103,-0.036,6.775,106.689,-4.333
0.868,0.096,-0.054,4.578,91.858,-3.662
0.879,0.106,-0.052,0.488,75.928,-3.052
