aX,aY,aZ,gX,gY,gZ
0.454,0.059,0.750,-203.674,-67.505,-91.003
0.501,0.059,0.834,-70.007,-19.958,-28.381
0.506,0.054,0.834,-12.634,-0.305,-4.456
0.505,0.048,0.831,-2.258,3.418,-0.977
0.506,0.046,0.824,-0.305,3.784,-0.122
0.506,0.055,0.819,0.244,3.906,1.038
0.504,0.060,0.816,0.793,3.906,1.587
0.501,0.067,0.811,0.977,3.845,1.892
0.500,0.075,0.809,1.099,3.296,2.014
0.501,0.078,0.809,0.916,2.563,1.709
0.501,0.079,0.810,0.427,1.953,1.282
0.502,0.075,0.812,0.000,1.587,1.160
0.499,0.075,0.817,-0.183,1.160,1.099
0.500,0.076,0.825,0.427,0.671,1.343
0.500,0.082,0.836,0.732,0.244,1.465
0.500,0.083,0.844,1.099,0.305,1.099
0.498,0.088,0.849,1.221,0.732,0.977
0.498,0.086,0.843,1.587,1.282,0.610
0.500,0.085,0.841,0.854,1.831,0.061
0.500,0.079,0.840,0.366,1.404,-0.305
0.501,0.076,0.845,-0.732,1.038,-0.549
0.498,0.075,0.853,-1.099,0.732,-0.488
0.500,0.074,0.859,-0.366,0.793,-0.549
0.504,0.066,0.860,-0.854,1.160,-0.977
0.501,0.051,0.860,-0.671,1.831,-1.282
0.501,0.049,0.856,-0.488,2.808,-1.038
0.503,0.052,0.849,0.366,3.235,-0.610
0.508,0.048,0.838,1.038,3.113,-0.427
0.505,0.045,0.836,-0.122,3.052,-0.183
0.502,0.049,0.833,0.061,3.235,0.610
0.502,0.058,0.831,1.038,3.235,1.343
0.502,0.059,0.829,0.366,3.296,1.282
0.501,0.056,0.831,-0.122,2.686,0.793
0.500,0.058,0.839,0.061,1.892,0.916
0.501,0.061,0.842,0.366,1.770,0.854
0.502,0.064,0.839,0.549,2.563,0.671
0.503,0.060,0.835,1.343,2.991,0.305
0.501,0.060,0.835,1.282,2.991,0.549
0.501,0.067,0.835,1.404,2.747,0.916
0.502,0.071,0.832,1.709,2.808,1.038
0.501,0.073,0.829,1.099,2.991,0.977
0.498,0.078,0.831,0.122,2.808,1.038
0.501,0.083,0.837,0.671,1.892,0.732
0.501,0.082,0.843,0.366,1.526,-0.122
0.505,0.076,0.842,0.183,1.953,-0.916
0.503,0.062,0.839,-0.183,2.563,-1.099
0.502,0.061,0.836,-0.549,2.991,-0.671
0.501,0.063,0.833,0.183,2.747,-0.122
0.506,0.068,0.828,0.366,2.808,0.061
0.505,0.068,0.827,1.160,2.747,-0.122

0.626,0.168,1.247,33.142,52.612,-13.977
0.673,0.173,1.383,41.443,73.059,-16.418
0.685,0.190,1.509,50.293,104.675,-15.076
0.665,0.145,1.577,65.857,146.851,-13.611
0.674,0.149,1.664,72.571,194.702,-7.629
0.616,0.092,1.754,82.153,245.667,0.122
0.586,0.071,1.836,89.417,299.438,8.606
0.496,0.096,1.869,89.661,361.267,18.738
0.444,0.032,1.750,88.318,434.021,13.000
0.297,-0.038,1.595,67.566,501.282,8.423
0.153,-0.092,1.339,49.011,564.331,10.193
0.147,-0.151,0.978,35.828,617.920,10.315
0.171,-0.137,0.596,19.897,647.766,11.536
0.169,-0.091,0.207,9.033,651.062,16.174
0.152,-0.003,-0.204,11.597,641.174,16.174
0.118,0.046,-0.653,26.306,615.784,11.169
0.164,0.108,-1.080,32.532,569.214,5.432
0.224,0.143,-1.409,26.794,492.554,-1.953
0.338,0.102,-1.513,17.029,385.437,-11.169
0.415,-0.014,-1.369,6.348,268.677,-20.142
0.483,-0.162,-1.119,-5.432,170.654,-24.231
0.561,-0.254,-0.863,-9.949,104.004,-20.020
0.655,-0.282,-0.678,-8.484,66.467,-9.460
0.689,-0.260,-0.565,-8.667,49.683,3.601
0.707,-0.214,-0.572,-11.536,45.410,15.808
0.672,-0.182,-0.650,-15.747,41.626,23.071
0.642,-0.150,-0.755,-23.132,32.837,27.100
0.642,-0.117,-0.849,-30.701,16.724,29.663
0.670,-0.077,-0.885,-37.720,-8.484,30.945
0.709,-0.048,-0.850,-42.786,-41.504,30.151
0.742,-0.038,-0.763,-44.800,-75.806,27.771
0.781,-0.039,-0.664,-47.180,-105.591,24.658
0.817,-0.042,-0.578,-50.171,-128.296,22.583
0.786,-0.054,-0.510,-53.345,-145.020,21.240
0.817,0.043,-0.442,-54.504,-156.677,22.827
0.823,0.061,-0.390,-38.757,-164.795,14.771
0.839,0.045,-0.346,-20.996,-169.128,0.183
0.847,0.026,-0.296,-13.977,-173.523,-10.071
0.863,0.042,-0.246,-9.216,-177.917,-16.602
0.900,0.032,-0.194,-0.488,-183.960,-24.353
0.949,-0.018,-0.136,6.714,-192.261,-33.569
1.034,-0.058,-0.050,0.671,-200.806,-38.269
1.082,-0.108,0.062,-5.493,-209.839,-37.842
1.082,-0.161,0.184,-9.766,-213.562,-35.278
1.083,-0.201,0.287,-15.869,-205.688,-30.640
1.071,-0.231,0.361,-19.714,-187.378,-24.109
1.057,-0.252,0.406,-20.447,-161.316,-17.456
1.044,-0.255,0.432,-18.860,-129.639,-9.399
1.044,-0.253,0.424,-10.925,-96.313,-2.014
1.035,-0.250,0.390,-0.427,-63.477,4.700

1.111,0.022,0.775,49.316,47.974,7.263
1.019,-0.006,0.880,62.073,74.219,6.348
1.051,0.043,1.000,62.073,101.990,8.179
1.148,0.095,1.165,56.091,130.859,13.611
1.178,0.078,1.364,58.228,167.053,14.771
1.077,0.039,1.444,51.086,219.604,15.503
0.867,0.009,1.424,39.307,303.406,18.005
0.765,-0.002,1.185,35.095,400.879,20.569
0.642,0.019,0.882,29.724,488.464,23.437
0.458,0.047,0.483,27.039,554.993,23.010
0.420,0.115,-0.026,25.146,596.985,20.630
0.333,0.192,-0.521,34.119,609.863,14.404
0.243,0.261,-0.968,53.406,587.524,6.104
0.224,0.290,-1.322,64.026,536.621,-2.319
0.238,0.248,-1.582,52.490,461.914,-14.648
0.283,0.156,-1.691,27.466,367.859,-28.137
0.296,0.001,-1.640,8.179,263.550,-36.438
0.375,-0.119,-1.456,-6.409,165.344,-33.142
0.443,-0.227,-1.204,-10.803,85.754,-23.254
0.467,-0.266,-0.969,-13.306,35.217,-9.399
0.470,-0.255,-0.862,-13.306,15.991,5.188
0.463,-0.207,-0.882,-12.817,12.939,18.433
0.437,-0.156,-0.973,-14.526,9.521,27.588
0.393,-0.108,-1.083,-19.653,-1.404,34.180
0.374,-0.073,-1.177,-30.457,-20.691,38.452
0.389,-0.025,-1.206,-41.748,-50.720,41.199
0.408,0.017,-1.166,-47.791,-88.440,43.152
0.433,0.055,-1.080,-49.866,-126.099,41.565
0.464,0.076,-0.982,-48.828,-160.095,35.828
0.495,0.080,-0.886,-43.640,-188.904,27.039
0.507,0.098,-0.794,-37.109,-212.036,16.602
0.573,0.108,-0.729,-26.611,-229.736,4.150
0.618,0.078,-0.665,-14.587,-247.375,-8.606
0.662,0.027,-0.588,-10.193,-264.038,-20.691
0.699,-0.017,-0.503,-12.085,-278.076,-28.259
0.723,-0.057,-0.404,-13.428,-289.612,-30.151
0.768,-0.077,-0.291,-12.207,-296.753,-28.564
0.820,-0.093,-0.172,-8.057,-300.903,-24.353
0.894,-0.101,-0.045,-4.333,-301.697,-18.799
0.942,-0.122,0.087,-3.296,-298.218,-13.428
0.978,-0.134,0.209,-4.700,-288.696,-6.653
0.999,-0.132,0.312,-5.737,-272.095,-1.282
0.997,-0.144,0.391,-4.883,-246.155,2.319
1.006,-0.109,0.440,-6.348,-213.867,8.545
1.025,-0.053,0.457,-4.456,-179.443,15.930
1.032,-0.007,0.454,2.686,-147.827,20.203
1.047,0.033,0.442,8.728,-121.338,20.630
1.062,0.067,0.430,11.536,-99.426,17.273
1.072,0.078,0.419,13.123,-82.153,11.292
1.077,0.062,0.410,13.611,-68.909,3.296

1.095,0.007,0.764,44.373,58.044,1.648
1.135,0.004,0.908,53.162,86.426,1.221
1.219,0.021,1.110,58.533,118.225,1.770
1.189,-0.058,1.348,64.209,157.959,3.601
1.143,-0.100,1.500,58.777,215.210,4.883
1.069,-0.200,1.557,43.091,296.387,11.658
0.836,-0.247,1.442,26.672,396.667,22.400
0.633,-0.154,1.115,16.785,503.784,35.339
0.443,-0.074,0.630,28.809,598.389,44.617
0.246,0.048,0.033,51.086,660.095,48.157
0.108,0.182,-0.593,67.871,677.612,47.424
0.024,0.303,-1.189,80.078,655.884,39.917
0.072,0.380,-1.634,74.585,589.783,28.381
0.103,0.333,-1.861,56.458,482.788,12.268
0.128,0.217,-1.815,24.719,358.643,-2.441
0.150,0.017,-1.629,0.977,245.300,-8.667
0.263,-0.103,-1.396,-14.954,158.386,-2.991
0.319,-0.190,-1.171,-17.700,98.816,6.165
0.349,-0.190,-1.021,-14.832,65.979,18.433
0.360,-0.140,-0.982,-10.010,52.246,28.992
0.369,-0.082,-1.029,-6.287,44.495,35.339
0.342,-0.042,-1.087,-5.127,32.104,37.964
0.351,-0.021,-1.117,-11.963,12.573,40.466
0.281,0.009,-1.142,-24.780,-7.812,43.701
0.216,0.006,-1.192,-35.217,-27.100,43.335
0.212,0.013,-1.228,-45.410,-49.561,41.321
0.263,0.038,-1.225,-51.697,-78.735,40.955
0.292,0.065,-1.158,-51.880,-112.305,38.452
0.329,0.084,-1.057,-47.791,-144.165,33.264
0.369,0.104,-0.964,-40.771,-169.678,26.123
0.401,0.129,-0.880,-33.264,-188.965,17.517
0.417,0.148,-0.809,-22.278,-203.247,7.446
0.503,0.147,-0.760,-13.489,-215.027,-2.625
0.573,0.128,-0.701,-8.789,-228.882,-11.902
0.611,0.117,-0.623,-10.742,-242.554,-19.897
0.646,0.107,-0.537,-14.160,-251.770,-26.306
0.703,0.086,-0.460,-13.000,-256.653,-31.433
0.760,0.059,-0.381,-9.521,-259.094,-36.377
0.816,0.025,-0.312,-6.775,-258.057,-41.809
0.869,-0.028,-0.247,-2.502,-252.319,-47.180
0.878,-0.094,-0.182,2.808,-242.737,-50.354
0.922,-0.172,-0.130,6.226,-230.591,-47.974
0.950,-0.199,-0.077,6.653,-217.407,-39.368
0.963,-0.209,-0.035,8.606,-203.247,-29.236
0.961,-0.193,-0.003,10.010,-189.026,-18.005
0.972,-0.163,0.020,11.658,-175.293,-7.263
1.000,-0.143,0.045,15.259,-166.199,-0.732
1.025,-0.119,0.077,15.015,-161.804,2.258
1.049,-0.073,0.128,6.775,-159.241,4.639
1.063,-0.037,0.181,2.502,-156.433,4.822

1.172,0.007,0.804,33.264,71.655,10.620
1.211,0.012,0.964,33.325,100.220,9.766
1.222,-0.034,1.084,37.048,138.794,10.620
1.121,-0.091,1.183,33.447,194.458,12.085
0.980,-0.142,1.178,22.034,268.127,12.878
0.919,-0.165,1.041,19.836,351.562,16.296
0.826,-0.171,0.790,24.536,428.650,25.146
0.712,-0.123,0.491,27.222,488.098,33.386
0.670,-0.063,0.140,30.029,523.682,39.368
0.568,-0.001,-0.189,33.752,539.062,41.077
0.452,0.065,-0.522,37.598,534.973,40.039
0.402,0.110,-0.841,44.250,513.428,37.415
0.412,0.131,-1.034,46.692,473.328,33.691
0.407,0.125,-1.136,31.982,416.077,29.663
0.284,0.093,-1.162,12.329,359.985,25.513
0.224,0.077,-1.205,-1.465,311.829,26.733
0.175,0.062,-1.270,-8.728,271.423,29.724
0.153,0.074,-1.322,-14.038,233.093,29.907
0.154,0.005,-1.336,-15.808,190.369,25.635
0.157,-0.017,-1.293,-20.691,144.958,22.888
0.156,-0.046,-1.229,-21.118,104.858,21.118
0.183,-0.070,-1.189,-18.799,73.486,19.348
0.143,-0.084,-1.169,-17.944,49.255,18.311
0.146,-0.109,-1.234,-14.526,32.166,16.479
0.105,-0.135,-1.287,-15.381,13.550,19.165
0.030,-0.080,-1.312,-26.062,-8.667,23.926
0.074,-0.058,-1.372,-20.935,-33.081,23.437
0.132,-0.053,-1.368,-21.179,-66.711,21.484
0.112,-0.043,-1.282,-27.222,-103.699,18.982
0.162,-0.015,-1.196,-26.672,-137.634,18.372
0.198,-0.008,-1.101,-21.973,-166.809,15.747
0.248,0.017,-1.005,-22.827,-190.125,12.146
0.271,0.050,-0.917,-21.729,-207.764,8.057
0.334,0.075,-0.851,-14.587,-220.337,1.953
0.415,0.078,-0.796,-7.690,-231.079,-5.005
