aX,aY,aZ,gX,gY,gZ
0.251,0.063,0.827,-265.198,-82.825,-111.755
0.284,0.052,0.931,-83.740,-24.292,-33.081
0.286,0.052,0.927,-13.367,-0.854,-3.967
0.286,0.054,0.915,-2.014,3.052,0.549
0.283,0.061,0.909,0.244,3.357,2.197
0.286,0.068,0.909,0.793,2.563,3.174
0.285,0.079,0.912,0.854,1.770,3.723
0.284,0.093,0.913,0.610,1.709,4.333
0.288,0.107,0.914,0.488,1.648,4.089
0.290,0.112,0.915,0.916,1.587,3.479
0.290,0.113,0.917,0.549,1.526,2.258
0.288,0.111,0.918,0.061,1.709,1.282
0.289,0.107,0.916,0.122,1.953,0.305
0.286,0.104,0.916,0.061,1.770,-0.183
0.282,0.097,0.919,0.122,1.282,-0.244
0.278,0.093,0.922,0.366,1.099,-0.427
0.278,0.082,0.924,0.427,0.916,-0.366
0.281,0.076,0.934,-0.427,0.427,-0.244
0.281,0.086,0.944,-0.977,0.244,0.610
0.282,0.101,0.938,0.916,1.282,1.831
0.283,0.107,0.928,1.038,2.625,1.465
0.280,0.097,0.919,-0.122,2.686,-0.244
0.281,0.086,0.924,-1.465,1.709,-0.977
0.279,0.074,0.933,-1.709,0.732,-1.160
0.280,0.065,0.936,-1.465,0.854,-1.160
0.279,0.057,0.933,-0.854,1.709,-1.038
0.281,0.053,0.932,-0.244,2.014,-0.549
0.281,0.055,0.933,0.549,1.709,0.549
0.279,0.067,0.935,0.488,1.404,1.831
0.281,0.079,0.938,0.427,1.648,2.563
0.280,0.086,0.942,0.183,1.587,2.502
0.280,0.090,0.945,0.000,1.892,1.953
0.280,0.087,0.940,-0.061,2.686,1.221
0.281,0.083,0.930,-0.183,3.540,0.732
0.280,0.081,0.920,-0.122,3.906,0.793
0.280,0.084,0.917,0.122,3.540,1.221
0.280,0.087,0.915,0.366,2.747,1.648
0.282,0.089,0.917,0.610,2.380,1.587
0.282,0.091,0.924,0.793,1.465,1.648
0.286,0.092,0.933,0.793,1.282,1.526
0.286,0.089,0.934,0.305,1.709,1.465
0.284,0.089,0.927,-0.244,2.747,1.160
0.285,0.092,0.918,-0.183,3.479,0.977
0.283,0.094,0.919,0.366,2.930,1.404
0.283,0.094,0.923,0.732,1.953,1.465
0.285,0.093,0.928,0.549,1.831,1.099
0.284,0.092,0.930,0.549,2.258,0.854
0.283,0.094,0.926,0.305,2.808,0.916
0.284,0.094,0.921,0.183,2.869,0.549
0.286,0.094,0.924,0.366,2.380,0.427

0.710,0.521,0.588,85.144,203.613,35.339
0.712,0.566,0.589,79.102,200.439,16.479
0.688,0.580,0.566,74.707,203.857,-4.211
0.693,0.604,0.489,69.824,210.937,-25.146
0.711,0.628,0.393,66.223,211.487,-46.814
0.699,0.641,0.327,62.012,200.867,-70.801
0.676,0.673,0.300,50.720,187.744,-96.802
0.656,0.703,0.281,37.048,175.354,-122.925
0.618,0.766,0.282,25.269,166.321,-152.954
0.580,0.849,0.267,18.616,157.593,-185.181
0.470,0.909,0.251,13.794,149.048,-218.506
0.352,0.949,0.160,13.428,147.705,-259.949
0.226,0.877,0.054,13.550,144.653,-309.326
0.097,0.701,-0.050,6.714,130.737,-362.000
0.006,0.352,-0.003,-1.831,101.318,-412.170
0.013,-0.057,0.175,-14.587,67.932,-445.190
0.067,-0.495,0.366,-22.400,48.767,-463.806
0.115,-0.860,0.479,-13.062,56.763,-477.722
0.154,-1.222,0.422,4.639,86.731,-491.028
0.165,-1.686,0.279,8.606,121.277,-471.680
0.244,-1.967,0.117,-1.099,142.639,-410.889
0.373,-2.225,-0.070,11.353,148.926,-343.445
0.461,-2.405,-0.177,21.545,136.169,-272.827
0.520,-2.521,-0.173,25.635,109.680,-201.721
0.560,-2.502,-0.091,30.884,81.238,-126.465
0.582,-2.337,0.037,37.048,60.425,-51.453
0.616,-2.189,0.161,38.818,51.270,10.620
0.568,-2.060,0.270,36.438,54.260,59.387
0.491,-1.855,0.265,39.001,68.176,104.858
0.421,-1.615,0.136,47.607,85.754,144.043
0.349,-1.400,-0.020,53.467,93.262,172.363
0.315,-1.218,-0.137,54.504,84.351,190.002
0.341,-1.006,-0.147,52.551,60.730,204.529
0.363,-0.824,-0.088,57.068,33.386,212.463
0.399,-0.645,-0.019,58.350,14.526,211.609
0.435,-0.518,0.012,58.228,4.883,203.979
0.497,-0.403,0.008,51.086,1.343,191.895
0.573,-0.319,0.008,42.053,-0.916,176.392
0.618,-0.333,-0.000,41.992,-2.808,155.518
0.665,-0.404,-0.020,33.508,-2.869,136.169
0.697,-0.498,-0.040,21.118,-2.991,123.901
0.737,-0.561,-0.038,14.038,-4.944,119.873
0.760,-0.569,-0.014,13.733,-8.057,122.620
0.807,-0.534,0.005,16.235,-10.803,127.502
0.829,-0.483,0.023,16.724,-11.475,131.348
0.844,-0.470,0.022,16.602,-9.705,132.568
0.841,-0.467,0.002,13.306,-6.958,132.874
0.842,-0.436,-0.025,7.935,-5.066,135.620
0.770,-0.397,-0.045,4.211,-6.714,140.198
0.900,-0.384,-0.079,0.183,-9.827,143.982

0.813,0.885,0.164,38.025,1.221,-51.453
0.774,1.074,0.130,50.476,1.343,-89.417
0.703,1.251,0.020,55.359,2.625,-145.325
0.536,1.423,-0.103,28.992,0.000,-218.933
0.298,1.337,-0.226,3.540,-8.911,-310.242
0.115,1.001,-0.260,-12.695,-27.771,-397.827
-0.032,0.550,-0.086,-18.372,-59.204,-462.769
-0.128,0.157,0.231,-4.578,-87.341,-495.972
-0.127,-0.196,0.488,25.452,-82.825,-512.085
-0.110,-0.513,0.517,54.504,-42.419,-522.278
-0.074,-0.840,0.354,66.162,7.385,-533.264
-0.003,-1.208,0.136,67.200,39.307,-549.438
0.071,-1.681,-0.004,57.556,43.030,-541.626
0.222,-2.221,-0.062,40.344,28.625,-483.704
0.419,-2.706,-0.096,37.903,12.329,-409.546
0.574,-3.072,-0.099,38.147,-1.282,-335.144
0.690,-3.156,-0.024,39.612,-17.883,-237.915
0.751,-3.006,0.103,68.115,-32.837,-125.183
0.796,-2.675,0.280,91.492,-41.077,-22.766
0.795,-2.306,0.436,90.393,-36.682,58.472
0.753,-1.986,0.515,81.909,-18.860,118.103
0.667,-1.755,0.500,78.308,4.578,161.499
0.582,-1.510,0.426,72.571,27.771,200.073
0.507,-1.259,0.345,65.735,44.128,232.605
0.442,-1.049,0.259,57.495,52.917,255.249
0.409,-0.813,0.170,42.725,56.458,274.658
0.372,-0.571,0.084,26.062,54.810,288.513
0.386,-0.349,-0.008,15.991,48.645,292.664
0.442,-0.164,-0.092,8.179,38.086,287.903
0.504,-0.036,-0.142,0.061,23.132,275.452
0.565,0.048,-0.136,-11.963,6.470,258.545
0.639,0.114,-0.101,-22.522,-6.531,238.586
0.706,0.142,-0.061,-24.902,-14.709,212.708
0.761,0.127,-0.028,-24.231,-17.395,181.458
0.796,0.080,-0.001,-22.400,-15.259,147.766
0.845,-0.011,0.014,-18.677,-12.146,117.310
0.873,-0.139,0.036,-17.700,-9.338,94.238
0.872,-0.236,0.055,-19.104,-4.639,80.139
0.876,-0.280,0.047,-20.142,2.319,75.256
0.889,-0.292,0.022,-19.287,9.033,74.158
0.903,-0.282,0.002,-18.188,12.329,74.341
0.917,-0.285,-0.018,-17.578,12.817,74.036
0.928,-0.287,-0.028,-21.545,11.597,74.524
0.944,-0.292,-0.036,-27.039,8.667,75.562
0.947,-0.298,-0.033,-28.931,3.784,77.209
0.941,-0.294,-0.032,-29.053,-0.977,79.407
0.943,-0.262,-0.018,-29.114,-5.432,82.153
0.955,-0.239,-0.002,-23.560,-9.094,83.618
0.944,-0.218,0.014,-18.494,-11.841,83.435
0.952,-0.186,0.032,-17.090,-13.550,82.031

1.021,0.691,0.390,25.513,-31.311,40.344
1.010,0.913,0.510,55.725,-29.907,36.804
0.889,1.183,0.703,91.248,-20.325,11.902
