aX,aY,aZ,gX,gY,gZ
0.728,-0.479,0.736,11.292,118.896,-49.866
0.756,-0.590,0.784,14.404,121.765,-46.021
0.794,-0.732,0.846,24.353,128.967,-46.326
0.781,-0.944,0.904,37.048,141.479,-39.429
0.771,-1.158,0.930,42.480,158.508,-13.611
0.742,-1.399,0.918,48.035,179.382,30.090
0.738,-1.568,0.839,55.359,203.125,89.966
0.666,-1.613,0.697,69.946,229.492,152.527
0.488,-1.548,0.531,85.266,252.319,223.389
0.364,-1.318,0.333,100.159,262.878,302.673
0.199,-0.937,0.103,130.249,262.451,373.474
0.060,-0.505,-0.175,135.376,254.089,421.082
-0.020,-0.116,-0.437,123.901,236.328,438.538
-0.040,0.294,-0.645,111.633,188.538,444.092
-0.042,0.691,-0.676,101.440,115.112,448.181
-0.000,0.949,-0.543,101.563,24.292,448.792
0.071,1.174,-0.209,89.661,-66.040,446.533
0.201,1.516,0.200,72.510,-125.488,388.245
0.296,1.471,0.530,62.378,-144.958,299.011
0.362,1.363,0.765,21.423,-129.944,229.309
0.415,1.275,0.883,3.906,-99.915,185.547
0.467,1.334,0.922,6.531,-67.688,157.227
0.496,1.416,0.921,0.793,-41.077,134.216
0.514,1.452,0.928,-9.033,-19.531,104.553
0.509,1.475,0.909,-7.080,1.892,67.444
0.510,1.575,0.866,-12.756,17.395,36.987
0.484,1.613,0.769,-22.278,32.959,2.136
0.459,1.584,0.628,-24.902,49.255,-40.161
0.437,1.527,0.465,-33.508,58.105,-81.238
0.420,1.451,0.312,-39.551,52.979,-118.042
0.395,1.378,0.206,-47.668,36.804,-151.428
0.360,1.315,0.139,-58.289,13.550,-184.814
0.356,1.215,0.109,-70.007,-12.573,-220.581
0.373,0.949,0.168,-85.205,-43.518,-257.812
0.396,0.636,0.313,-105.408,-75.623,-285.645
0.408,0.382,0.470,-118.347,-95.642,-295.654
0.446,0.235,0.572,-117.249,-97.961,-292.542
0.494,0.166,0.633,-110.107,-89.050,-282.532
0.524,0.113,0.659,-99.304,-76.477,-274.109
0.551,0.029,0.644,-82.703,-62.439,-272.827
0.622,-0.103,0.588,-64.209,-48.584,-274.536
0.653,-0.258,0.537,-49.683,-35.889,-273.315
0.734,-0.447,0.481,-36.133,-24.475,-267.151
0.794,-0.585,0.422,-24.475,-13.184,-254.211
0.829,-0.699,0.355,-13.184,-4.456,-230.835
0.869,-0.740,0.285,-4.822,0.977,-190.918
0.911,-0.668,0.219,1.892,2.441,-144.104
0.927,-0.573,0.164,10.498,-0.366,-107.239
0.929,-0.511,0.141,12.451,-8.545,-81.543
0.937,-0.476,0.168,4.456,-21.790,-62.195

0.915,-0.271,0.527,-5.188,-48.340,0.916
0.914,-0.210,0.545,-2.136,-37.598,8.057
0.884,-0.169,0.540,2.075,-23.071,11.108
0.884,-0.151,0.483,7.629,-6.104,12.817
0.855,-0.126,0.433,11.292,3.235,12.634
0.884,-0.099,0.388,8.484,4.761,12.024
0.872,-0.072,0.386,0.061,2.686,13.123
0.876,-0.059,0.401,0.854,-1.526,15.198
0.874,-0.040,0.435,0.366,-6.104,17.029
0.897,-0.014,0.469,-4.761,-9.216,18.616
0.891,-0.002,0.502,-7.812,-9.888,19.165
0.878,0.001,0.532,-5.981,-9.827,19.348
0.886,0.001,0.539,-6.653,-9.644,18.127
0.888,0.017,0.569,-11.597,-7.446,17.456
0.909,0.004,0.563,-7.996,-2.686,16.357
0.906,-0.008,0.544,-4.822,1.343,16.663
0.887,0.001,0.515,-4.761,6.104,18.921
0.883,0.014,0.490,-1.648,7.874,21.301
0.874,0.045,0.488,-0.977,7.019,23.621
0.867,0.090,0.504,-2.991,4.761,25.146
0.851,0.129,0.527,-3.845,4.456,24.231
0.900,0.140,0.496,-4.700,7.568,19.653
0.858,0.142,0.484,-7.629,12.817,15.137
0.858,0.133,0.467,-2.991,14.893,11.536
0.869,0.127,0.453,0.244,15.381,7.751
0.869,0.098,0.438,0.000,15.747,3.235
0.867,0.064,0.428,-2.625,15.625,-0.732
0.877,0.018,0.419,-3.479,14.771,-2.808
0.874,-0.011,0.408,-3.601,13.550,-2.747
0.869,-0.007,0.401,-2.319,11.292,-0.183
0.868,0.024,0.397,1.404,7.812,3.235
0.873,0.062,0.405,4.639,3.479,4.944
0.876,0.081,0.427,4.761,-0.366,3.357
0.883,0.081,0.455,2.197,-2.136,0.427
0.882,0.067,0.475,0.122,-1.465,-2.014
0.889,0.060,0.483,-0.916,1.160,-3.967
0.883,0.063,0.476,0.793,4.700,-5.127
0.885,0.067,0.462,3.174,6.897,-6.470
0.890,0.066,0.457,3.052,7.019,-8.362
0.892,0.037,0.461,1.587,6.409,-10.925
0.898,0.002,0.473,-0.366,5.005,-13.000
0.902,-0.026,0.477,-1.221,4.089,-13.550
0.903,-0.046,0.482,0.122,4.150,-12.024
0.905,-0.043,0.474,1.831,6.165,-8.301
0.901,-0.022,0.463,3.845,8.057,-4.639
