aX,aY,aZ,gX,gY,gZ
0.362,0.965,0.973,24.841,93.750,52.490
0.397,1.229,1.127,28.809,103.027,33.264
0.352,1.398,1.220,39.490,123.413,-10.864
0.276,1.521,1.221,42.297,155.396,-62.866
0.259,1.572,1.117,47.791,188.965,-117.371
0.214,1.555,0.925,65.125,212.341,-175.964
0.122,1.619,0.676,65.613,222.412,-233.643
-0.004,1.709,0.483,43.030,214.355,-293.762
-0.082,1.586,0.327,36.072,188.538,-364.807
-0.215,1.264,0.255,23.010,152.527,-433.350
-0.309,0.839,0.241,0.305,119.446,-485.046
-0.317,0.390,0.245,-23.132,89.294,-512.085
-0.301,0.015,0.286,-47.424,61.646,-522.095
-0.254,-0.244,0.342,-60.425,39.185,-518.372
-0.173,-0.471,0.462,-61.157,21.973,-510.559
-0.047,-0.764,0.605,-58.105,7.812,-509.338
0.078,-1.125,0.702,-47.668,2.686,-507.141
0.211,-1.589,0.748,-43.640,6.958,-470.581
0.396,-1.943,0.707,-32.410,18.982,-398.499
0.486,-2.194,0.576,-3.418,35.278,-317.932
0.569,-2.263,0.445,23.437,52.002,-236.755
0.626,-2.219,0.333,44.495,59.448,-157.166
0.688,-2.041,0.276,57.861,54.749,-79.163
0.693,-1.801,0.323,50.720,40.894,-9.583
0.661,-1.590,0.421,37.964,27.771,41.382
0.625,-1.394,0.491,26.611,24.719,78.796
0.643,-1.210,0.507,16.663,29.785,107.239
0.650,-1.053,0.499,8.423,35.706,126.831
0.669,-0.940,0.498,0.366,38.513,139.893
0.689,-0.852,0.520,-0.305,36.621,147.400
0.699,-0.759,0.545,4.761,34.180,152.649
0.713,-0.675,0.560,15.686,35.461,157.288
0.703,-0.616,0.565,29.114,40.100,161.621
0.685,-0.505,0.541,40.771,45.593,166.748
0.689,-0.390,0.504,51.697,48.340,171.448
0.709,-0.282,0.475,54.932,46.936,171.387
0.728,-0.203,0.458,45.593,42.297,167.358
0.750,-0.169,0.457,31.921,35.767,159.912
0.770,-0.190,0.461,18.555,29.846,151.001
0.780,-0.196,0.474,7.690,25.696,144.226
0.801,-0.157,0.489,4.211,23.010,143.127
0.813,-0.108,0.503,4.700,20.630,142.273
0.812,-0.057,0.511,3.113,21.118,140.442
0.820,-0.028,0.495,5.920,23.315,135.864
0.846,-0.019,0.475,2.625,25.635,126.648
0.840,-0.029,0.471,-5.066,28.076,117.920
0.837,-0.080,0.442,-5.737,30.457,110.596
0.829,-0.091,0.418,-8.850,33.325,110.107
0.836,-0.049,0.398,-9.277,32.776,114.929
0.853,-0.012,0.385,-7.019,31.372,116.821
0.895,0.030,0.368,-9.216,29.907,117.310
0.889,0.034,0.336,-14.587,29.785,117.188
0.849,0.051,0.351,-22.156,28.137,115.784
0.848,0.094,0.373,-18.311,23.560,115.845
0.872,0.062,0.363,-5.249,23.682,112.000
0.879,0.045,0.351,-7.568,24.414,109.680
0.870,0.063,0.352,-16.235,23.865,110.718
0.849,0.100,0.353,-13.550,22.095,112.366
0.846,0.140,0.337,-4.639,22.339,113.892
0.865,0.195,0.319,-2.747,22.461,116.516
0.859,0.244,0.321,-9.583,19.897,119.446
0.863,0.300,0.331,-16.724,17.334,118.774
0.870,0.319,0.339,-15.747,15.686,110.291
0.883,0.313,0.359,-13.733,13.977,96.741
0.882,0.299,0.392,-15.015,12.756,85.876
0.882,0.295,0.410,-17.334,15.076,79.102
0.890,0.304,0.410,-15.747,20.447,75.134
0.897,0.299,0.411,-11.780,24.841,71.716
0.905,0.312,0.422,-12.146,28.137,68.481
0.897,0.334,0.431,-13.489,33.752,66.345
0.859,0.369,0.408,-11.597,41.016,64.453
0.871,0.403,0.358,-9.583,48.401,62.439
0.876,0.410,0.315,-7.812,51.086,58.167
0.861,0.415,0.302,-9.399,48.096,52.063
0.867,0.399,0.289,-7.629,45.593,44.861
0.880,0.363,0.269,-4.822,44.067,37.964
0.890,0.334,0.253,-7.019,42.480,33.936
0.868,0.350,0.239,-10.742,40.710,33.081
0.876,0.366,0.206,-8.484,39.856,32.776
0.887,0.395,0.182,-5.249,35.950,32.471
0.868,0.410,0.176,-5.310,30.090,30.396
0.874,0.408,0.186,-6.775,23.804,26.794
0.895,0.381,0.223,-8.545,16.602,22.339
0.885,0.364,0.279,-10.437,12.451,18.311
0.913,0.343,0.302,-7.141,13.916,16.174
0.884,0.343,0.309,-5.188,20.264,17.090
0.892,0.386,0.290,-5.005,27.405,20.081
0.886,0.418,0.258,-2.319,32.349,20.752
0.885,0.443,0.229,-1.953,34.363,18.494
0.863,0.453,0.214,-4.456,33.752,14.526
0.868,0.474,0.197,-8.118,32.898,10.315
0.866,0.480,0.184,-8.301,30.640,5.615
0.866,0.469,0.175,-8.240,28.076,0.183
0.872,0.430,0.180,-10.193,25.024,-5.432
0.866,0.370,0.206,-15.381,21.912,-10.437
0.865,0.325,0.229,-21.423,21.057,-11.658
