aX,aY,aZ,gX,gY,gZ
0.526,0.509,0.873,42.908,11.230,149.536
0.531,0.538,0.852,38.452,27.954,133.057
0.513,0.572,0.829,33.447,42.419,114.807
0.506,0.581,0.792,32.593,54.260,95.886
0.519,0.591,0.744,29.785,63.354,77.637
0.528,0.592,0.693,26.367,67.810,61.340
0.531,0.601,0.646,23.071,68.604,46.387
0.545,0.620,0.617,18.921,64.148,31.677
0.570,0.635,0.604,13.306,56.152,14.404
0.564,0.610,0.604,10.071,48.340,-6.165
0.579,0.565,0.619,3.906,42.053,-26.611
0.577,0.482,0.644,0.305,35.278,-42.603
0.588,0.424,0.683,0.061,27.893,-49.255
0.589,0.419,0.734,2.930,23.010,-49.316
0.581,0.438,0.778,8.484,23.865,-47.974
0.591,0.441,0.781,13.367,31.616,-50.781
0.599,0.437,0.761,15.320,41.443,-55.054
0.628,0.431,0.746,17.578,48.035,-59.021
0.631,0.406,0.740,19.470,51.758,-65.125
0.657,0.355,0.725,22.888,55.298,-72.754
0.680,0.297,0.710,25.696,58.411,-77.454
0.700,0.306,0.739,28.992,59.753,-78.552
0.736,0.324,0.810,37.720,61.218,-78.186
0.754,0.262,0.866,40.405,70.068,-84.900
0.760,0.168,0.889,31.616,86.670,-94.482
0.805,-0.003,0.875,31.677,104.858,-99.243
0.896,-0.235,0.840,38.086,117.676,-96.375
1.006,-0.477,0.825,33.447,118.652,-85.388
1.060,-0.620,0.923,11.169,109.436,-68.359
1.127,-0.846,1.105,-0.122,98.633,-47.852
1.077,-1.081,1.345,-9.155,95.154,-19.226
0.961,-1.354,1.589,-35.950,113.586,37.170
0.801,-1.438,1.738,-58.777,161.499,107.117
0.571,-1.404,1.656,-49.377,231.506,179.993
0.302,-1.146,1.313,-43.640,313.782,259.766
0.042,-0.785,0.779,-52.734,396.606,326.538
-0.100,-0.515,0.111,-49.438,455.200,360.840
-0.118,-0.340,-0.523,-45.166,475.830,377.686
-0.272,-0.122,-0.979,-25.879,447.632,390.015
-0.370,0.256,-1.270,20.752,378.174,407.166
-0.409,0.682,-1.362,78.613,284.180,432.434
-0.357,1.075,-1.264,131.592,171.509,452.881
-0.399,1.215,-0.933,130.310,58.838,479.370
-0.311,1.980,-0.459,99.854,-25.818,456.726
-0.187,2.068,-0.114,124.878,-80.383,368.408
-0.030,2.285,0.268,90.576,-110.840,286.804
0.036,2.403,0.592,41.809,-120.544,202.087
0.032,2.368,0.839,16.602,-110.046,112.366
-0.001,2.271,1.009,-1.587,-79.529,34.302
-0.031,2.125,1.026,-6.409,-29.419,-30.884
0.006,1.919,0.852,-3.418,29.236,-89.539
0.038,1.718,0.595,-8.301,74.280,-136.475
0.069,1.540,0.356,-14.465,93.323,-170.349
0.096,1.360,0.181,-15.015,90.942,-193.054
0.193,1.175,0.085,-13.611,76.111,-205.566
0.318,0.935,0.058,-12.268,56.824,-209.717
0.387,0.742,0.075,-20.203,38.391,-203.674
0.417,0.638,0.062,-26.550,26.672,-187.927
0.491,0.634,-0.004,-25.269,20.996,-167.908
0.544,0.626,-0.091,-18.250,13.184,-152.344
0.554,0.594,-0.116,-17.578,-0.732,-145.508
0.569,0.580,-0.087,-26.184,-16.113,-141.235
0.612,0.561,-0.067,-29.297,-28.381,-134.460
0.643,0.519,-0.045,-32.532,-39.246,-128.723
0.771,0.440,-0.010,-42.175,-51.270,-126.343
0.720,0.409,0.093,-56.152,-66.528,-125.244
0.711,0.432,0.178,-54.688,-72.327,-123.718
0.750,0.446,0.208,-32.043,-69.763,-124.695
0.757,0.499,0.218,-20.752,-61.646,-126.404
0.783,0.485,0.215,-14.404,-52.551,-134.521
0.745,0.416,0.222,-11.353,-44.373,-149.780
0.747,0.326,0.193,-5.920,-35.645,-157.166
0.774,0.258,0.147,-16.235,-26.550,-154.785
0.811,0.242,0.112,-26.245,-18.250,-149.780
0.826,0.212,0.093,-23.437,-17.944,-140.625
0.843,0.194,0.088,-19.104,-22.156,-134.338
0.866,0.155,0.090,-19.104,-29.114,-132.568
0.894,0.105,0.116,-19.226,-38.757,-131.653
0.911,0.080,0.162,-18.250,-48.401,-127.991
0.923,0.060,0.216,-11.841,-55.176,-121.826
0.905,0.043,0.261,-4.822,-57.129,-112.366
0.919,0.052,0.296,-3.357,-52.795,-101.685
0.927,0.071,0.325,-3.479,-45.898,-90.576
0.941,0.078,0.335,-3.296,-36.987,-80.566
0.868,0.121,0.332,-5.432,-26.123,-71.106
0.924,0.191,0.293,-3.540,-14.282,-61.890
0.950,0.178,0.269,6.775,-8.301,-60.730
0.956,0.158,0.278,3.906,-5.676,-64.270
0.942,0.137,0.305,-4.761,-2.991,-66.406
0.966,0.098,0.318,-4.517,0.244,-66.406
0.973,0.059,0.315,-2.014,5.615,-64.941
0.965,0.033,0.296,-1.160,12.756,-63.660
0.969,0.012,0.257,2.014,19.287,-60.730
0.976,-0.001,0.211,9.766,21.484,-55.237
0.997,-0.010,0.162,14.893,18.250,-47.974
0.988,-0.002,0.141,12.329,10.803,-39.734
0.983,0.017,0.137,5.005,0.122,-31.067
1.002,0.024,0.148,-0.610,-11.719,-22.522
1.024,0.031,0.184,-5.493,-24.475,-14.160
1.020,0.071,0.233,-12.634,-36.011,-5.676
1.000,0.105,0.256,-16.846,-42.480,0.793
1.007,0.116,0.265,-14.221,-43.457,4.150
1.013,0.121,0.285,-9.155,-43.884,5.371
0.981,0.137,0.315,-4.211,-44.495,7.446
0.974,0.163,0.335,-0.854,-41.077,8.057
0.964,0.155,0.333,2.075,-35.278,6.042
0.949,0.147,0.317,2.197,-32.593,5.798
0.881,0.156,0.321,-1.160,-30.701,7.141
0.790,0.214,0.431,-3.174,-31.982,5.432
0.857,0.234,0.424,-0.427,-31.799,0.305
0.852,0.280,0.437,-5.615,-17.761,-0.305
0.859,0.313,0.442,-5.676,-13.550,-6.653
0.953,0.276,0.384,0.183,-7.202,-18.799
0.979,0.216,0.342,-1.526,-0.305,-32.532
0.951,0.134,0.317,-19.043,6.775,-47.119
0.921,0.070,0.299,-41.809,12.207,-56.946
0.936,0.047,0.265,-54.871,13.672,-56.641
0.950,0.007,0.227,-44.067,12.817,-52.429
0.935,-0.063,0.198,-11.353,7.385,-46.448

1.107,-0.647,0.820,27.649,24.170,-69.763
1.089,-1.086,0.975,49.622,28.442,-110.046
0.970,-1.780,1.109,52.979,45.654,-107.300
0.838,-2.208,1.222,30.945,84.778,-24.170
0.629,-2.429,1.126,42.419,142.639,79.346
0.338,-2.362,0.739,86.365,213.135,197.449
0.056,-1.786,0.119,127.930,274.109,324.646
-0.110,-1.103,-0.528,158.630,302.490,429.993
-0.188,-0.525,-1.005,167.358,282.837,495.728
-0.265,-0.015,-1.235,161.011,216.125,538.635
-0.255,0.429,-1.188,164.856,120.361,566.956
-0.228,0.744,-0.961,199.280,12.756,581.970
-0.252,0.881,-0.577,223.877,-89.172,601.501
-0.275,0.963,-0.138,203.674,-161.499,628.967
-0.093,1.677,0.290,164.307,-190.186,595.947
0.159,2.791,0.621,152.527,-181.274,510.803
-0.513,2.951,0.993,15.869,-126.648,334.534
0.011,2.259,0.756,23.682,-60.303,159.607
0.124,2.054,0.716,21.545,-26.855,80.933
0.115,2.044,0.799,31.616,-27.283,38.635
0.142,1.925,0.826,30.334,-25.085,-9.460
0.177,1.732,0.775,33.081,-9.949,-55.603
0.216,1.622,0.683,28.931,4.761,-84.778
0.269,1.579,0.565,13.916,13.977,-102.905
0.314,1.512,0.463,-0.732,13.611,-119.995
0.371,1.380,0.394,-10.437,4.761,-137.268
0.445,1.211,0.380,-18.311,-7.874,-152.405
0.501,1.026,0.400,-24.841,-19.592,-163.452
0.564,0.870,0.392,-32.715,-23.865,-168.945
0.608,0.791,0.379,-46.692,-21.484,-167.786
0.648,0.740,0.353,-48.035,-15.747,-164.673
0.668,0.704,0.317,-39.185,-9.277,-161.133
0.682,0.717,0.286,-38.635,-3.357,-156.982
0.672,0.745,0.253,-41.626,0.977,-156.555
0.672,0.743,0.214,-45.837,4.395,-161.255
0.659,0.671,0.189,-53.040,7.019,-173.218
0.653,0.584,0.158,-53.467,7.263,-183.960
0.663,0.484,0.144,-51.819,5.371,-192.261
0.681,0.380,0.161,-51.086,1.648,-200.500
0.705,0.279,0.194,-47.241,-1.770,-207.275
0.729,0.164,0.216,-41.077,-3.052,-210.815
0.737,0.086,0.217,-37.537,-1.160,-208.984
0.750,0.061,0.180,-33.569,1.770,-199.768
0.749,0.077,0.121,-27.222,1.648,-187.134
0.765,0.098,0.087,-21.362,-4.517,-177.368
0.772,0.085,0.092,-16.785,-15.198,-172.852
0.784,0.076,0.133,-18.066,-24.780,-170.471
0.813,0.062,0.182,-19.775,-31.006,-169.312
0.817,0.016,0.231,-17.883,-33.508,-168.640
0.834,-0.024,0.259,-17.456,-31.250,-166.565
0.862,-0.079,0.270,-16.052,-25.757,-164.734
0.884,-0.153,0.262,-13.123,-19.287,-164.062
0.900,-0.228,0.248,-12.939,-12.878,-160.889
0.918,-0.272,0.235,-13.000,-8.362,-152.405
0.933,-0.316,0.234,-8.362,-6.836,-139.404
0.955,-0.367,0.250,-4.333,-7.874,-124.634
0.975,-0.400,0.279,-3.479,-8.423,-108.582
0.993,-0.417,0.299,-2.441,-6.226,-90.332
0.997,-0.403,0.316,0.244,-1.160,-71.350
0.999,-0.350,0.311,5.676,5.920,-52.551
1.001,-0.294,0.287,12.268,13.184,-38.940
1.002,-0.267,0.262,14.587,18.188,-32.043
0.989,-0.264,0.249,11.902,20.996,-28.259
1.002,-0.270,0.240,9.155,22.339,-24.231
0.993,-0.271,0.234,8.911,24.170,-19.104
0.967,-0.254,0.222,9.888,26.611,-12.390
0.966,-0.213,0.193,11.169,29.663,-5.249
0.966,-0.170,0.170,13.428,30.151,-0.793
0.947,-0.132,0.162,13.611,27.771,1.709
0.969,-0.102,0.151,10.742,24.475,2.747
0.961,-0.099,0.156,7.690,20.935,1.709
0.942,-0.101,0.156,3.296,17.334,-0.183
0.974,-0.098,0.151,0.061,15.320,-0.671
0.953,-0.108,0.154,0.488,11.780,-1.221
0.958,-0.107,0.154,0.305,8.850,-1.221
0.961,-0.116,0.148,0.977,6.958,-1.404
0.964,-0.129,0.146,0.488,4.944,-1.770
0.968,-0.139,0.148,-1.587,2.930,-1.648
0.973,-0.155,0.150,-2.686,0.732,-1.038
0.973,-0.158,0.161,-4.211,-0.427,0.549
0.971,-0.154,0.175,-5.310,-1.221,2.808
0.984,-0.149,0.182,-5.859,-1.282,4.150
0.960,-0.140,0.193,-6.165,-0.977,5.432
0.988,-0.126,0.192,-5.005,-0.366,6.592
0.971,-0.115,0.197,-3.723,0.916,6.531
0.981,-0.112,0.195,-3.845,2.136,5.676
0.974,-0.123,0.190,-2.075,2.502,3.967
0.970,-0.126,0.180,-1.526,2.502,3.662
0.979,-0.122,0.175,-1.587,2.747,4.639
0.974,-0.116,0.176,-0.854,2.014,4.761
0.973,-0.109,0.179,-0.427,1.160,5.493
0.971,-0.098,0.185,-0.977,0.305,6.042
0.975,-0.083,0.193,-1.099,-0.732,6.104
0.977,-0.077,0.202,-0.610,-1.404,5.249
0.973,-0.073,0.210,-0.488,-1.404,4.333
0.972,-0.068,0.211,-0.305,-0.305,3.174
0.970,-0.068,0.207,0.549,0.854,1.831
0.978,-0.076,0.198,0.671,1.465,0.305
0.975,-0.087,0.200,-0.366,1.526,-0.916
0.975,-0.103,0.203,-0.793,1.404,-1.221
0.979,-0.117,0.202,-0.427,0.977,-0.977
0.977,-0.120,0.201,-0.732,0.916,-0.122
0.974,-0.111,0.202,-1.587,1.160,1.343
0.978,-0.104,0.201,-0.793,1.526,2.075
0.978,-0.093,0.204,-0.305,1.343,2.197
0.979,-0.092,0.210,0.305,0.916,1.343
0.980,-0.097,0.213,1.038,1.038,0.610
0.978,-0.092,0.214,0.977,2.075,0.305
0.976,-0.092,0.209,1.038,3.235,0.000
0.975,-0.098,0.195,1.465,4.211,-0.671
0.975,-0.108,0.184,0.610,4.578,-0.977
0.973,-0.119,0.180,-0.305,3.784,-0.977
0.975,-0.120,0.185,-0.732,2.441,-0.488
0.976,-0.112,0.196,-0.427,1.160,0.793
0.974,-0.104,0.204,0.549,0.854,1.404
0.974,-0.090,0.210,0.549,1.160,1.282
0.978,-0.085,0.207,0.366,2.136,0.732
0.974,-0.088,0.203,-0.427,3.906,-0.305
0.972,-0.086,0.191,-1.465,5.737,-1.038

1.051,-0.740,0.258,17.639,38.208,0.061
