aX,aY,aZ,gX,gY,gZ
-0.798,-0.071,0.956,96.977,81.351,126.061
-0.755,-0.107,0.884,107.420,86.656,143.695
-0.712,-0.124,0.809,110.733,85.015,157.779
-0.536,-0.077,0.632,109.061,66.748,170.420
-0.375,-0.007,0.536,108.153,49.885,177.618
-0.134,0.100,0.420,103.359,32.832,177.817
0.146,0.112,0.245,94.366,27.153,172.450
0.309,0.237,0.007,84.107,18.176,164.489
0.439,0.275,-0.234,70.809,-11.023,149.985
0.564,0.179,-0.526,54.573,-53.748,119.046
0.716,0.334,-0.484,17.893,-86.595,69.397
0.697,0.629,-0.352,-48.046,-72.130,21.802
0.606,1.108,0.076,-157.099,-16.969,-35.809
0.413,0.791,0.225,-250.137,53.656,-95.901
0.209,0.228,0.212,-250.137,93.412,-140.153
-0.101,0.073,0.398,-250.137,94.634,-154.595
-0.355,0.134,0.579,-250.137,76.130,-151.183
-0.668,-0.036,1.032,-250.137,59.031,-129.489
-0.960,-0.081,1.346,-250.137,41.527,-96.466
-1.124,-0.077,1.661,-216.168,22.244,-60.122
-1.176,-0.106,1.845,-145.992,16.137,-24.672
-1.149,-0.127,1.902,-63.046,10.626,8.389
-1.087,-0.102,1.929,15.916,-0.183,38.695
-0.988,-0.071,1.849,82.328,-16.878,68.443
-0.826,-0.095,1.637,133.031,-48.069,92.573
-0.646,-0.055,1.338,162.664,-77.542,108.878
-0.507,0.008,1.114,171.229,-88.580,114.870
-0.415,0.086,0.971,167.458,-78.290,118.527
-0.312,0.213,0.833,152.977,-61.061,118.053
-0.216,0.303,0.744,129.374,-37.542,116.221
-0.157,0.326,0.700,103.969,-20.496,111.969
-0.031,0.292,0.645,82.069,-3.084,101.565
0.074,0.302,0.642,63.298,16.779,85.924
0.086,0.366,0.611,48.931,25.145,71.618
0.102,0.384,0.621,36.802,23.023,58.855
0.071,0.393,0.648,28.725,20.359,48.916
0.035,0.395,0.651,24.130,14.504,39.466
-0.009,0.387,0.661,22.275,11.260,34.145
-0.069,0.392,0.680,21.298,10.183,31.153
-0.131,0.423,0.705,19.672,11.008,31.000
-0.183,0.385,0.705,19.626,10.359,32.870
-0.197,0.373,0.710,21.458,15.344,36.328
-0.216,0.395,0.708,21.733,18.969,40.519
-0.235,0.385,0.751,18.137,17.099,43.000
-0.187,0.354,0.757,14.656,17.901,43.824
-0.187,0.350,0.769,13.473,17.427,41.779
-0.153,0.341,0.758,13.298,17.107,35.687
-0.157,0.393,0.765,14.237,18.427,28.115
-0.203,0.410,0.778,13.458,13.076,24.420
-0.245,0.403,0.796,11.580,8.053,25.244
-0.278,0.388,0.783,11.557,3.481,28.008
-0.301,0.399,0.789,12.954,3.328,33.061
