aX,aY,aZ,gX,gY,gZ
0.123,0.759,-0.953,-203.328,-74.817,1.366
0.243,0.572,-1.021,-250.137,-46.237,13.206
0.319,0.307,-1.004,-250.137,14.573,17.534
0.402,0.088,-0.795,-250.137,87.023,6.443
0.419,-0.115,-0.528,-250.137,167.145,-17.595
0.329,-0.218,0.019,-250.137,243.534,-51.870
0.167,-0.325,0.670,-250.137,250.130,-80.389
-0.039,-0.342,1.321,-250.137,250.130,-100.824
-0.291,-0.373,1.947,-250.137,238.656,-112.756
-0.476,-0.340,2.000,-250.137,206.221,-114.511
-0.706,-0.373,2.000,-240.588,151.496,-105.260
-0.813,-0.334,2.000,-166.679,89.802,-85.305
-0.865,-0.325,2.000,-97.802,31.756,-57.679
-0.811,-0.326,2.000,-37.916,-7.977,-26.305
-0.723,-0.346,2.000,9.260,-31.244,3.008
-0.581,-0.358,2.000,47.763,-43.038,29.595
-0.432,-0.337,1.922,80.244,-51.794,48.832
-0.291,-0.275,1.744,102.733,-57.321,58.702
-0.167,-0.201,1.610,120.634,-58.733,63.840
-0.058,-0.145,1.480,139.511,-59.863,65.618
0.032,-0.086,1.352,159.336,-61.779,62.229
0.100,-0.034,1.206,180.382,-61.412,54.885
0.143,0.012,1.075,200.046,-57.947,43.649
0.152,0.026,0.957,213.618,-54.824,31.061
0.154,0.083,0.842,219.534,-52.260,17.305
0.133,0.129,0.759,218.878,-48.832,2.916
0.096,0.194,0.691,212.962,-45.672,-11.443
0.056,0.242,0.617,204.168,-45.038,-23.443
-0.009,0.297,0.601,192.924,-44.351,-31.542
-0.027,0.386,0.548,178.947,-40.794,-35.740
-0.048,0.434,0.541,170.046,-35.221,-35.282
-0.051,0.479,0.523,163.069,-30.565,-31.473
-0.060,0.523,0.517,158.328,-22.992,-26.168
-0.072,0.557,0.497,153.534,-15.137,-20.183
-0.084,0.596,0.513,147.206,-8.771,-13.664
-0.088,0.627,0.524,141.153,-3.542,-6.519
-0.083,0.651,0.519,135.824,3.427,3.000
-0.070,0.668,0.520,132.847,6.969,11.267
-0.064,0.669,0.514,131.260,9.382,17.534
-0.051,0.679,0.515,128.344,12.107,22.412
-0.034,0.653,0.507,123.565,15.412,25.435
-0.011,0.679,0.523,117.855,17.061,25.282
-0.017,0.682,0.520,113.695,15.397,23.687
-0.012,0.688,0.514,111.023,12.168,20.221
0.001,0.709,0.508,109.481,7.809,16.824
0.005,0.719,0.496,106.771,5.267,14.473
0.013,0.737,0.488,103.939,2.878,13.573
