aX,aY,aZ,gX,gY,gZ
-0.208,0.266,1.342,158.656,140.183,75.397
-0.222,0.288,1.440,208.641,149.809,91.664
-0.284,0.278,1.546,250.130,164.366,106.427
-0.406,0.304,1.617,250.130,169.542,119.656
-0.530,0.327,1.683,250.130,151.534,135.679
-0.601,0.334,1.653,250.130,119.435,151.794
-0.646,0.324,1.618,250.130,72.076,168.366
-0.636,0.265,1.461,250.130,7.206,183.962
-0.589,0.177,1.221,250.130,-53.580,190.885
-0.479,0.153,0.943,250.130,-107.557,188.618
-0.371,0.121,0.696,250.130,-159.412,178.832
-0.204,0.160,0.410,250.130,-195.718,164.397
-0.049,0.240,0.143,250.130,-202.481,149.313
0.097,0.306,-0.121,250.130,-184.160,134.435
0.193,0.380,-0.351,250.130,-143.099,116.023
0.231,0.485,-0.519,250.130,-107.267,95.351
0.269,0.545,-0.624,250.130,-84.405,78.664
0.260,0.595,-0.699,250.130,-64.504,58.580
0.243,0.637,-0.795,239.855,-50.084,36.969
0.222,0.622,-0.804,193.611,-43.542,18.366
0.190,0.683,-0.787,147.008,-33.740,6.237
0.197,0.734,-0.852,102.664,-18.336,-4.878
0.157,0.776,-0.868,58.802,-0.985,-13.878
0.115,0.821,-0.855,10.725,22.702,-23.084
0.066,0.855,-0.809,-30.733,42.534,-27.450
0.024,0.876,-0.785,-68.847,57.893,-28.779
-0.045,0.890,-0.711,-106.275,65.229,-27.656
-0.091,0.913,-0.633,-139.908,66.031,-24.092
-0.089,0.946,-0.552,-176.443,67.053,-17.954
-0.088,0.952,-0.462,-205.573,75.992,-11.550
-0.079,0.935,-0.362,-228.634,91.802,-4.786
-0.055,0.922,-0.227,-243.954,114.267,2.092
-0.061,0.880,-0.094,-250.137,135.702,7.298
-0.086,0.838,0.045,-250.137,143.382,10.191
-0.077,0.829,0.177,-249.618,142.366,12.122
-0.071,0.809,0.296,-242.924,139.382,12.824
-0.066,0.800,0.411,-230.802,133.756,12.779
-0.057,0.788,0.516,-213.275,125.748,13.023
-0.075,0.771,0.615,-188.168,110.695,11.336
-0.092,0.765,0.711,-163.557,92.412,8.435
-0.090,0.793,0.768,-135.580,68.351,6.107
-0.100,0.797,0.806,-110.389,47.282,6.092
-0.092,0.804,0.805,-89.038,27.481,7.160
-0.094,0.847,0.791,-70.573,9.626,7.824
-0.086,0.870,0.757,-56.817,-2.618,8.855
-0.085,0.878,0.712,-45.702,-8.321,9.924
-0.072,0.886,0.672,-36.420,-11.000,11.672
-0.082,0.892,0.620,-29.519,-14.916,13.771
-0.072,0.887,0.591,-26.824,-20.634,16.763
-0.045,0.893,0.555,-28.031,-25.947,19.840
-0.044,0.856,0.500,-31.389,-29.450,22.000
-0.003,0.859,0.474,-37.206,-25.573,23.489
0.019,0.865,0.451,-44.076,-20.359,25.229
0.013,0.852,0.450,-50.023,-16.496,26.504
0.026,0.837,0.441,-55.756,-15.130,27.916
0.036,0.821,0.437,-61.504,-14.076,29.328
0.035,0.803,0.422,-65.069,-11.313,28.817
0.053,0.799,0.422,-66.977,-4.275,28.038
0.062,0.793,0.422,-68.198,3.756,26.817
0.048,0.776,0.436,-69.847,13.702,25.504
0.058,0.769,0.458,-70.893,22.718,24.794
0.083,0.780,0.469,-70.260,30.794,25.267
0.049,0.760,0.515,-70.206,31.328,25.687
0.062,0.745,0.531,-70.130,29.557,24.962
0.078,0.728,0.558,-69.053,28.351,24.244
0.076,0.720,0.568,-67.275,28.939,22.061
0.079,0.716,0.599,-64.473,25.305,19.534
0.075,0.699,0.601,-61.092,23.023,16.374
0.091,0.704,0.605,-57.183,23.107,13.710
0.100,0.707,0.606,-54.015,27.473,11.145
0.083,0.705,0.633,-51.672,32.740,8.237
0.083,0.700,0.642,-49.901,35.145,5.779
0.080,0.733,0.685,-47.458,33.435,3.901
0.072,0.698,0.708,-44.443,30.656,2.855
0.068,0.677,0.722,-40.145,25.473,2.847
0.054,0.640,0.728,-36.145,23.168,2.298
0.041,0.617,0.736,-31.695,21.603,1.779
0.060,0.637,0.749,-26.756,19.053,2.290
0.050,0.640,0.756,-21.344,15.275,2.229
0.054,0.660,0.755,-15.168,10.206,2.015
0.061,0.674,0.750,-8.962,3.863,1.252
0.070,0.671,0.740,-4.084,-1.023,0.244
0.076,0.669,0.716,-0.405,-2.855,-1.130
0.081,0.665,0.700,2.557,-0.847,-2.450
0.082,0.667,0.688,4.450,3.992,-3.718
0.063,0.673,0.686,6.092,7.595,-4.687
0.057,0.674,0.687,6.962,8.748,-5.038
0.039,0.684,0.692,7.237,7.939,-4.786
0.038,0.678,0.695,6.786,5.260,-3.756
0.035,0.675,0.697,7.267,2.649,-2.725
0.046,0.670,0.697,8.313,0.282,-1.092
0.036,0.659,0.687,10.328,-1.756,-0.435
0.049,0.675,0.678,12.099,-4.504,-0.992
0.064,0.672,0.667,12.374,-6.832,-1.916
0.053,0.676,0.653,11.511,-8.672,-4.832
0.052,0.688,0.628,11.321,-8.832,-8.191
0.050,0.703,0.625,11.702,-6.122,-10.473
0.042,0.699,0.620,12.771,-4.008,-11.298
0.028,0.701,0.624,13.382,-2.969,-11.794
0.001,0.713,0.621,12.863,-2.420,-12.580
0.009,0.720,0.612,12.763,-1.931,-12.275
-0.000,0.731,0.606,13.779,-1.573,-10.779
0.008,0.729,0.594,15.802,2.099,-8.427
0.019,0.731,0.605,18.870,8.160,-5.244
0.014,0.736,0.587,21.160,10.748,-2.725
-0.004,0.711,0.603,22.954,11.481,-1.252
-0.003,0.731,0.594,23.122,9.000,-0.618
-0.010,0.731,0.603,21.489,2.405,-0.695
-0.001,0.728,0.581,20.183,-3.374,-0.290
0.003,0.733,0.562,18.618,-7.084,0.916
0.023,0.751,0.557,17.565,-6.443,1.939
0.028,0.748,0.537,16.260,-3.191,3.260
0.028,0.742,0.531,15.061,0.740,3.611
0.030,0.754,0.534,14.038,1.519,3.550
0.025,0.740,0.537,13.168,1.664,4.328
0.027,0.727,0.531,13.420,3.878,5.122
0.048,0.727,0.536,13.336,8.366,6.389
0.045,0.735,0.546,12.527,10.817,6.374
0.043,0.740,0.543,11.031,9.473,5.061

-0.085,0.707,1.029,48.206,80.626,-3.389
-0.130,0.692,1.138,65.489,75.328,-0.855
-0.159,0.673,1.248,88.687,63.748,1.870
-0.168,0.698,1.340,120.115,59.779,4.221
-0.243,0.667,1.460,159.160,43.366,7.305
-0.315,0.653,1.539,206.038,11.908,13.023
-0.330,0.658,1.569,250.130,-14.099,20.588
-0.394,0.665,1.550,250.130,-44.725,30.534
-0.428,0.618,1.467,250.130,-76.206,46.565
-0.407,0.609,1.281,250.130,-104.847,64.748
-0.434,0.523,1.075,250.130,-130.557,80.443
-0.377,0.518,0.829,250.130,-154.489,91.626
-0.343,0.478,0.561,250.130,-187.137,98.191
-0.290,0.445,0.242,250.130,-221.366,99.786
-0.188,0.485,-0.075,250.130,-250.137,97.916
-0.108,0.446,-0.389,250.130,-250.137,90.870
0.003,0.529,-0.731,250.130,-250.137,82.427
0.098,0.533,-1.101,250.130,-206.481,72.710
0.149,0.539,-1.314,250.130,-154.557,65.031
0.171,0.552,-1.451,250.130,-100.573,57.832
0.183,0.500,-1.530,250.130,-56.641,47.420
0.193,0.410,-1.550,200.221,-24.191,35.214
0.193,0.339,-1.528,144.229,0.229,20.176
0.178,0.306,-1.488,85.237,15.634,2.214
0.149,0.231,-1.467,34.885,17.870,-11.947
0.127,0.200,-1.438,-7.275,19.000,-22.885
