aX,aY,aZ,gX,gY,gZ
-0.268,0.616,-1.202,-86.168,63.313,-21.328
-0.398,0.427,-1.325,-188.191,55.328,23.565
-0.107,0.354,-1.397,-250.137,17.313,53.618
0.159,0.217,-1.132,-250.137,-27.084,57.107
0.210,-0.120,-0.294,-250.137,-84.237,55.756
0.209,-0.355,0.835,-250.137,-123.305,28.756
0.192,-0.255,1.874,-250.137,-196.969,39.237
0.401,-0.094,2.000,-250.137,-218.359,56.076
0.631,0.066,2.000,-250.137,-164.947,44.321
0.751,0.189,2.000,-168.695,-101.733,15.275
0.632,0.189,2.000,-13.038,-40.763,-21.885
0.404,0.184,2.000,99.748,-11.817,-30.855
0.328,0.173,1.756,177.725,18.878,-26.817
0.278,0.216,1.346,195.687,51.405,-19.366
0.291,0.258,1.146,202.405,61.061,-13.427
0.341,0.331,1.007,218.244,74.099,-20.557
0.260,0.307,0.926,246.901,86.595,-31.344
0.120,0.385,0.694,250.130,91.160,-32.962
0.053,0.423,0.503,250.130,108.137,-22.733
0.024,0.486,0.341,250.130,125.885,-12.290
-0.011,0.570,0.244,234.015,113.611,-2.840
-0.010,0.623,0.185,206.198,94.061,4.481
0.026,0.664,0.146,179.863,94.275,5.962
0.027,0.708,0.157,154.000,95.237,6.901
0.024,0.787,0.187,134.412,79.282,8.076
0.062,0.771,0.225,122.450,57.885,6.496
0.075,0.815,0.205,109.328,50.282,1.221
0.045,0.837,0.220,98.084,41.489,-2.405
0.037,0.853,0.214,88.534,34.649,-3.511
0.013,0.880,0.216,80.305,28.542,-6.267
0.021,0.880,0.235,75.664,35.137,-6.282
0.020,0.902,0.259,76.092,40.031,-7.702
0.002,0.924,0.269,79.511,39.664,-9.191
-0.008,0.914,0.251,84.412,41.931,-8.504
-0.016,0.907,0.194,88.015,36.763,-11.374
-0.031,0.928,0.132,83.580,28.687,-13.603
-0.067,0.918,0.125,78.458,23.252,-14.038
-0.090,0.920,0.095,74.748,20.000,-13.725
-0.115,0.948,0.051,69.901,20.160,-10.870
-0.121,0.946,0.005,62.015,24.893,-6.397
-0.107,0.823,0.069,61.267,26.435,-1.282
-0.064,0.972,-0.066,43.725,38.542,-0.656
-0.037,0.990,-0.070,31.824,30.496,-5.092
-0.046,0.959,-0.051,18.954,16.130,-10.191
-0.078,0.947,-0.017,7.885,8.626,-14.336
-0.122,0.973,-0.008,1.832,9.679,-16.649
-0.172,0.973,0.027,-1.412,13.802,-12.679
-0.204,0.990,0.056,-3.252,22.115,-2.145
-0.245,0.976,0.140,3.267,16.450,15.893
-0.153,0.989,0.124,9.893,16.397,24.496

0.035,0.678,-1.152,-22.344,26.634,15.542
0.048,0.617,-1.550,-148.710,4.802,7.802
0.018,0.419,-1.524,-250.137,-44.969,4.351
0.046,0.190,-1.087,-250.137,-115.435,13.985
0.128,-0.019,-0.612,-250.137,-167.855,33.832
0.260,-0.168,-0.035,-250.137,-193.817,47.557
0.401,-0.266,0.706,-250.137,-236.557,45.588
0.625,-0.395,1.319,-250.137,-250.137,48.092
0.836,-0.284,2.000,-250.137,-208.153,19.336
0.667,-0.078,2.000,-250.137,-85.840,-23.107
0.465,0.157,2.000,-173.847,-31.626,-36.366
0.322,0.239,2.000,54.870,10.534,-39.763
0.153,0.138,2.000,217.863,55.260,-29.412
0.111,0.084,2.000,250.130,110.267,-6.985
0.131,0.061,1.535,250.130,157.496,24.260
0.214,0.055,1.279,250.130,176.939,42.496
0.297,0.059,0.907,250.130,169.313,46.725
0.349,0.130,0.497,250.130,155.229,36.878
0.366,0.355,0.035,250.130,130.458,17.382
0.282,0.486,-0.229,250.130,105.221,-2.511
0.188,0.587,-0.385,250.130,70.450,-11.122
0.146,0.716,-0.488,227.260,46.985,-22.313
0.075,0.796,-0.471,155.000,38.076,-35.031
-0.009,0.828,-0.409,98.099,27.611,-39.893
-0.092,0.867,-0.256,52.702,21.794,-30.237
-0.083,0.900,-0.117,27.015,9.550,-16.366
0.009,0.898,0.022,18.382,3.206,-13.008
0.033,0.902,0.098,22.351,1.122,-22.824
-0.019,0.955,0.127,26.344,3.260,-28.924
-0.063,0.978,0.173,32.924,14.412,-28.374
-0.090,1.006,0.233,40.672,25.115,-25.000
-0.112,0.996,0.282,55.840,28.115,-22.611
-0.141,0.954,0.287,76.580,22.939,-17.107
-0.145,0.957,0.208,93.305,13.519,-15.939
-0.168,0.939,0.122,104.076,9.756,-13.458
-0.153,0.961,0.011,109.198,27.038,-10.511
-0.172,0.959,-0.052,105.748,40.649,-5.115
-0.145,0.972,-0.083,98.931,35.939,2.985
-0.071,0.960,-0.113,91.198,27.328,5.473
-0.044,0.961,-0.152,89.733,25.374,0.511
-0.043,0.928,-0.168,88.519,23.901,-5.534
-0.042,0.909,-0.215,84.656,16.069,-9.053
-0.080,0.848,-0.222,82.779,11.580,-12.496
-0.115,0.980,-0.309,69.023,18.084,-17.252
-0.170,0.974,-0.312,60.305,23.038,-18.031
-0.196,1.035,-0.352,44.145,27.344,-9.947
-0.217,0.976,-0.281,32.023,14.702,1.092
