aX,aY,aZ,gX,gY,gZ
0.065,0.959,0.783,94.305,39.977,-9.695
0.024,0.995,1.025,163.763,45.756,-6.550
-0.021,0.977,1.259,250.130,49.748,4.763
-0.213,0.877,1.429,250.130,56.031,26.351
-0.256,0.510,1.421,250.130,46.298,49.527
0.001,0.590,0.275,250.130,-23.244,38.366
-0.018,0.536,-0.401,250.130,-21.969,31.168
-0.032,0.708,-1.077,250.130,-5.427,22.634
-0.074,0.752,-1.269,250.130,7.893,25.397
-0.149,0.754,-1.231,203.298,13.076,30.099
-0.150,0.667,-0.990,136.328,3.053,38.260
-0.102,0.650,-1.037,77.275,-13.603,38.046
-0.019,0.631,-1.036,16.443,-15.084,30.473
-0.031,0.682,-1.013,-39.481,-16.267,28.756
0.021,0.698,-0.895,-85.947,-14.580,24.420
0.059,0.711,-0.742,-117.489,-11.267,13.473
0.085,0.750,-0.641,-131.229,3.641,3.313
0.090,0.796,-0.616,-148.649,9.718,-4.290
0.070,0.847,-0.556,-172.313,11.168,-8.779
0.016,0.897,-0.468,-197.275,11.137,-8.031
-0.027,0.930,-0.397,-220.718,6.237,-3.038
-0.083,0.931,-0.320,-239.908,4.000,4.771
-0.103,0.934,-0.237,-250.137,5.458,14.481
-0.074,0.902,-0.035,-250.137,11.573,21.977
0.004,0.900,0.127,-250.137,11.863,25.802
0.125,0.838,0.291,-247.229,7.458,22.160
0.230,0.841,0.504,-217.458,4.473,9.511
0.238,0.894,0.649,-172.137,1.206,-5.160
0.175,0.947,0.654,-115.947,0.382,-14.305
0.083,0.976,0.561,-70.183,-1.924,-16.336
0.005,0.998,0.408,-48.672,-4.939,-12.977
-0.011,1.007,0.310,-44.840,-6.664,-7.260
-0.001,0.996,0.288,-46.282,-5.198,-2.015
0.037,0.988,0.343,-42.290,-2.901,0.786
0.062,0.959,0.408,-29.237,1.076,4.740
0.130,0.890,0.401,-14.695,-0.198,2.534
0.142,0.902,0.338,-7.687,-0.344,-6.168
