aX,aY,aZ,gX,gY,gZ
0.625,0.836,0.348,22.985,-3.977,-70.618
0.752,0.760,0.513,42.969,6.015,-120.840
0.844,0.663,0.500,66.061,18.718,-176.458
0.741,0.583,0.427,89.504,32.824,-232.046
0.463,0.552,0.088,95.756,34.573,-250.137
0.037,0.629,-0.164,79.176,31.176,-250.137
-0.363,0.708,-0.119,58.076,16.496,-250.137
-0.705,0.778,-0.128,40.718,-9.756,-240.580
-0.723,0.823,-0.173,27.489,-20.580,-214.008
-0.900,0.881,-0.167,19.427,-12.573,-187.176
-0.937,0.877,-0.151,12.237,-7.122,-153.519
-0.824,0.809,-0.055,5.023,-4.504,-137.000
-0.951,0.805,-0.015,7.328,-0.481,-120.733
-0.993,0.797,-0.122,2.870,-0.458,-100.870
-1.197,0.861,-0.140,-7.481,-4.702,-74.710
-1.317,0.878,-0.131,-14.252,-16.786,-31.359
-1.264,0.876,-0.131,-32.321,-46.122,7.061
-1.156,0.905,-0.047,-43.641,-59.168,42.878
-0.992,0.896,0.094,-41.641,-47.802,75.603
-0.740,0.841,0.271,-29.496,-31.099,93.702
-0.592,0.830,0.365,-8.901,-18.298,100.099
-0.513,0.849,0.281,7.382,-12.351,104.405
-0.466,0.856,0.188,13.557,-9.634,109.023
-0.444,0.857,0.099,10.542,-18.282,111.115
-0.442,0.868,0.034,2.031,-34.336,113.267
-0.396,0.901,-0.018,-8.649,-40.763,117.603
-0.280,0.899,0.048,-14.931,-26.809,119.237
-0.259,0.910,0.193,-8.221,-12.061,122.176
-0.120,0.838,0.205,-0.176,-8.710,111.611
-0.162,0.877,0.109,4.351,-10.305,104.832
-0.157,0.896,0.046,-1.061,-12.214,101.985
-0.128,0.895,0.018,-8.313,-15.420,96.527
-0.160,0.885,0.043,-14.779,-21.786,90.985
-0.090,0.925,0.042,-25.198,-22.756,86.901
-0.088,0.973,0.133,-21.786,-7.618,82.954
0.014,0.919,0.230,-11.397,5.015,72.534
-0.081,0.928,0.249,-4.321,3.931,67.382
-0.084,0.932,0.127,-5.656,-6.313,66.328
-0.054,0.947,0.092,-11.206,-11.809,65.687
0.059,0.945,0.134,-15.443,-7.115,61.588
0.110,0.931,0.216,-12.542,-1.695,52.069
0.111,0.922,0.235,-6.221,1.107,40.947
0.086,0.949,0.213,-1.260,2.137,32.336
0.086,0.951,0.162,0.076,7.000,27.061
0.048,0.957,0.140,-1.237,8.931,23.870
0.061,0.951,0.178,-4.237,3.985,22.099
0.089,0.938,0.199,-2.779,-2.267,17.832
0.061,0.956,0.141,-2.511,-6.412,13.817
0.057,0.964,0.139,-5.664,-6.206,12.221
