aX,aY,aZ,gX,gY,gZ
-0.369,0.904,0.536,10.824,-16.702,25.450
-0.411,0.898,0.575,23.061,-9.221,42.679
-0.448,0.891,0.637,38.206,-3.489,46.962
-0.700,0.893,0.650,63.527,1.779,64.527
-1.011,0.854,0.626,90.580,-19.725,114.053
-1.033,0.701,0.494,116.252,3.710,181.863
-0.807,0.650,0.314,119.160,35.725,250.130
-0.305,0.539,0.212,113.779,58.656,250.130
0.178,0.530,0.108,96.832,103.351,250.130
0.228,0.595,0.090,75.107,99.580,250.130
0.754,0.439,0.107,56.099,23.855,250.130
1.292,0.561,0.079,41.504,73.962,250.130
1.361,0.611,0.121,37.389,60.977,183.580
1.502,0.643,0.044,27.412,22.489,114.756
1.485,0.648,-0.012,4.275,23.565,42.748
1.392,0.644,0.029,-24.313,4.359,-1.725
1.430,0.634,0.125,-45.931,-2.206,-44.305
1.408,0.613,0.222,-53.840,-13.878,-90.031
1.244,0.597,0.279,-54.985,-17.359,-138.649
0.831,0.635,0.332,-55.977,-28.664,-168.756
0.483,0.692,0.376,-53.466,-36.183,-167.183
0.270,0.743,0.455,-45.534,-45.076,-147.107
0.196,0.810,0.502,-34.740,-55.382,-121.107
0.260,0.837,0.530,-16.473,-54.840,-102.626
0.304,0.833,0.518,6.115,-45.763,-106.321
0.159,0.865,0.370,23.458,-33.649,-113.962
-0.006,0.886,0.248,24.588,-25.015,-109.656
-0.132,0.922,0.177,14.992,-13.183,-89.275
-0.114,0.946,0.182,4.710,-4.969,-64.321
0.006,0.942,0.244,2.412,-8.282,-52.763
0.054,0.939,0.270,8.916,-10.405,-57.214
-0.016,0.936,0.244,14.664,-9.908,-57.962
-0.090,0.945,0.187,15.198,-3.321,-49.855
-0.111,0.960,0.152,11.618,12.672,-36.885
-0.046,0.953,0.183,9.282,19.420,-21.763
0.034,0.954,0.200,9.924,20.359,-14.466
0.131,0.934,0.189,12.084,14.863,-12.702
0.167,0.930,0.166,10.901,5.672,-17.740
0.113,0.922,0.154,8.924,-3.595,-24.244
0.038,0.946,0.124,3.130,-0.061,-20.901
0.008,0.941,0.151,-1.611,15.099,-11.809
0.026,0.949,0.206,-1.092,27.855,-3.000
0.053,0.943,0.231,1.252,35.092,6.252
0.111,0.956,0.250,4.389,32.954,11.282
0.160,0.957,0.259,7.565,22.053,8.863
0.163,0.957,0.249,10.099,13.305,4.336
0.145,0.949,0.235,11.481,7.588,0.374
0.114,0.945,0.230,13.198,7.130,0.969
0.094,0.958,0.235,16.908,11.160,0.176
0.052,0.962,0.217,19.954,11.427,1.473

1.482,0.273,0.078,81.046,-2.481,250.130
2.000,0.216,-0.154,80.107,-61.275,184.817
2.000,0.180,-0.386,55.664,19.092,60.855
2.000,0.236,-0.394,3.725,20.267,-26.069
1.926,0.104,-0.361,-41.802,-4.214,-95.397
1.631,0.163,-0.326,-81.672,18.893,-160.435
1.153,0.301,-0.163,-108.931,10.809,-185.855
0.783,0.340,-0.032,-113.618,0.313,-184.954
0.448,0.492,0.070,-116.954,-15.260,-158.458
0.359,0.537,0.127,-115.473,-40.641,-119.802
0.469,0.578,0.182,-109.969,-28.878,-82.427
0.670,0.629,0.314,-93.870,-18.595,-64.473
0.853,0.623,0.354,-70.031,-29.916,-71.718
0.835,0.658,0.279,-46.557,-19.740,-90.000
0.741,0.738,0.085,-41.099,-6.328,-103.763
0.585,0.752,0.067,-44.366,1.939,-113.740
0.481,0.763,0.095,-50.779,4.725,-119.809
0.321,0.840,0.163,-45.611,-9.817,-110.290
0.266,0.815,0.186,-40.603,-10.542,-94.313
0.254,0.814,0.200,-30.916,-5.359,-75.168
0.362,0.751,0.213,-14.290,16.473,-60.031
0.496,0.850,0.138,-8.580,47.130,-63.504
0.452,0.854,0.112,-11.282,59.824,-72.809
0.398,0.873,0.126,-19.763,56.710,-69.885
0.348,0.852,0.181,-24.137,37.557,-61.885
0.375,0.832,0.201,-23.267,18.679,-54.855
0.427,0.855,0.240,-14.443,9.695,-53.313
0.450,0.839,0.256,-5.038,15.870,-57.550
0.466,0.836,0.250,1.931,27.466,-60.496
0.469,0.863,0.234,10.725,30.870,-64.336
0.473,0.883,0.177,12.069,30.924,-66.290
0.493,0.865,0.172,11.809,33.771,-73.489
0.432,0.870,0.137,10.099,38.069,-82.511
0.354,0.856,0.121,7.641,40.137,-86.038
0.279,0.909,0.074,1.405,42.191,-86.099
0.174,0.941,0.086,-9.870,38.137,-80.344
0.127,0.924,0.140,-20.244,29.420,-67.802
0.128,0.942,0.198,-24.229,21.656,-54.511
0.125,0.931,0.247,-23.496,16.351,-46.443
0.111,0.950,0.274,-20.076,12.824,-37.435
0.118,0.969,0.289,-15.489,14.656,-30.260
0.147,0.963,0.322,-6.931,23.802,-25.985
0.141,0.957,0.356,3.450,30.321,-23.023
0.142,0.950,0.338,13.183,28.183,-19.534
0.189,0.948,0.305,21.710,22.397,-16.824
0.233,0.935,0.270,26.183,21.359,-18.511
0.232,0.938,0.222,27.542,19.107,-22.725
0.215,0.943,0.157,23.557,15.466,-27.305
0.152,0.945,0.126,16.947,14.863,-29.718
0.088,0.957,0.147,9.374,12.405,-23.053

-0.233,1.014,0.447,8.015,-24.267,-8.870
-0.305,0.994,0.287,5.748,91.435,-8.756
-0.194,0.963,0.294,13.427,49.794,25.244
0.200,0.952,0.177,15.588,14.916,25.344
0.470,0.915,0.155,8.718,-54.420,6.672
0.368,0.912,0.076,-1.145,1.176,-23.847
0.116,0.934,0.170,-8.336,-0.344,-26.076
0.084,0.951,0.221,-7.511,-14.389,-21.656
0.057,0.950,0.235,-2.664,-10.969,-18.405
0.045,0.959,0.219,-0.481,-0.031,-13.336
0.066,0.965,0.221,-0.672,5.557,-9.504
0.068,0.971,0.241,-0.336,1.466,-8.908
0.079,0.955,0.245,2.122,0.794,-8.092
0.092,0.955,0.245,5.595,2.519,-9.412
0.104,0.959,0.226,8.023,4.092,-12.275
0.058,0.959,0.191,8.969,2.160,-15.183
0.013,0.967,0.158,6.145,-4.046,-13.870
0.008,0.963,0.163,2.069,-2.634,-11.855
0.003,0.959,0.171,-0.229,3.328,-9.679
0.009,0.964,0.190,-0.069,4.618,-7.382
0.006,0.971,0.196,-0.267,1.893,-6.550
-0.075,0.998,0.288,1.328,-43.252,1.649
0.049,0.970,0.210,1.824,-34.168,-1.130
0.016,0.968,0.218,1.885,-22.954,-1.580
0.101,0.945,0.158,1.832,16.130,-8.069
-0.027,0.961,0.203,1.611,16.687,-3.779
0.123,0.945,0.180,2.794,-1.573,-1.221
0.221,0.935,0.161,2.649,13.924,-12.863
0.098,0.952,0.191,2.328,8.481,-19.779
-0.154,0.977,0.192,2.924,0.344,-13.076
-0.180,1.007,0.162,2.038,-28.321,9.733
-0.050,0.991,0.180,-2.855,-27.099,22.832
0.105,0.966,0.191,-6.145,-10.634,23.687
0.156,0.953,0.196,-7.779,7.779,16.252
0.067,0.972,0.215,-4.580,8.695,10.107
-0.003,0.942,0.194,-4.359,4.382,14.573
0.056,0.945,0.134,-7.229,-1.168,18.885
0.095,0.961,0.123,-13.183,-7.702,17.687
0.058,0.947,0.127,-20.107,-15.282,17.947
0.031,0.926,0.153,-21.344,-24.427,21.557
0.031,0.944,0.168,-22.786,-32.954,28.031
0.085,0.939,0.235,-17.809,-38.336,33.275
0.160,0.916,0.268,-8.122,-29.863,30.382
0.250,1.000,0.221,-2.504,-20.275,20.038
0.276,0.999,0.266,-0.053,-12.702,3.870
0.253,1.024,0.253,2.664,0.351,-9.504
0.202,0.997,0.222,2.191,14.244,-18.008
