aX,aY,aZ,gX,gY,gZ
-0.212,-0.056,0.950,-0.626,-9.466,0.061
-0.030,-0.033,0.925,-0.779,1.237,-0.527
-0.123,-0.054,0.821,0.214,1.176,-0.580
-0.095,-0.040,0.993,-0.458,3.153,-0.489
-0.113,-0.043,0.861,-1.061,2.855,-0.542
-0.104,-0.046,0.945,-0.809,4.893,-0.382
-0.119,-0.058,0.898,0.672,-2.481,-0.481
-0.118,-0.052,0.904,1.939,-5.511,-0.115
-0.056,-0.032,0.927,0.542,0.832,-0.130
-0.090,-0.041,0.837,-3.298,9.397,-1.137
-0.132,-0.055,0.947,-0.954,5.107,-0.573
-0.122,-0.055,0.907,1.985,-6.412,-0.168
-0.070,-0.034,0.855,-0.389,3.122,-0.519
-0.085,-0.039,0.948,-2.817,10.107,-0.763
-0.130,-0.051,0.909,-0.183,1.443,-0.443
-0.097,-0.045,0.897,-0.160,1.420,-0.542
-0.083,-0.041,0.901,-1.718,5.718,-0.656
-0.107,-0.047,0.915,-0.939,5.008,-0.649
-0.114,-0.043,0.914,-0.038,0.550,-0.511
-0.080,-0.044,0.881,-0.771,3.931,-0.656
-0.103,-0.048,0.900,-1.328,4.824,-0.672
-0.110,-0.052,0.920,0.298,0.634,-0.313
-0.092,-0.042,0.894,-0.519,2.634,-0.504
-0.095,-0.044,0.898,-1.321,6.611,-0.672
-0.107,-0.056,0.920,-0.420,2.603,-0.450
-0.103,-0.048,0.889,-0.893,3.397,-0.779
-0.110,-0.051,0.912,-1.176,5.229,-0.672
-0.094,-0.051,0.896,-1.229,5.542,-0.649
-0.101,-0.041,0.882,-2.733,9.336,-0.954
-0.098,-0.047,0.918,-2.947,11.603,-0.863
-0.054,-0.059,0.775,-0.420,3.405,-0.725
-0.089,-0.042,0.867,-1.427,4.992,-0.672
-0.085,-0.056,0.852,-0.534,3.000,-0.626
-0.105,-0.042,0.901,-0.527,2.313,-0.550
-0.100,-0.051,0.904,-1.038,3.359,-0.534
-0.097,-0.050,0.901,-1.328,4.565,-0.573
-0.112,-0.047,0.902,-0.931,3.313,-0.542
-0.096,-0.047,0.904,-0.931,3.863,-0.557
-0.114,-0.049,0.902,-1.160,2.824,-0.527
-0.110,-0.047,0.912,-0.901,3.427,-0.527
-0.104,-0.047,0.904,-1.046,3.718,-0.519
-0.105,-0.043,0.896,-0.885,3.802,-0.534
-0.103,-0.049,0.895,-0.779,4.267,-0.580
-0.113,-0.051,0.897,-0.626,3.687,-0.718
-0.107,-0.046,0.893,-0.489,2.802,-0.588
-0.105,-0.048,0.904,-0.450,3.198,-0.740
-0.103,-0.045,0.896,-0.786,3.397,-0.641
-0.107,-0.048,0.905,-0.656,3.550,-0.435
-0.102,-0.046,0.900,-0.824,3.427,-0.725
-0.114,-0.043,0.904,-0.863,3.748,-0.809
-0.173,0.003,0.907,-0.954,4.870,-3.313
-0.109,-0.037,0.889,-0.588,5.794,-4.573
-0.089,-0.074,0.890,-0.603,4.702,-3.641
-0.062,-0.066,0.905,-0.504,3.718,-2.405
-0.091,-0.059,0.896,-0.519,3.053,-1.328
-0.093,-0.050,0.894,-0.565,2.832,-0.863
-0.098,-0.053,0.903,-0.565,2.992,-1.099
-0.103,-0.055,0.907,-0.649,3.176,-0.832
-0.101,-0.056,0.894,-0.504,3.046,-0.580
-0.099,-0.051,0.905,-0.756,3.351,-0.496
-0.105,-0.046,0.909,-0.718,3.481,-0.626
-0.100,-0.051,0.903,-0.771,3.870,-0.626
-0.107,-0.049,0.897,-0.725,3.542,-0.511
-0.101,-0.046,0.898,-0.702,3.664,-0.649
-0.104,-0.047,0.905,-0.710,3.382,-0.649
-0.103,-0.052,0.905,-0.771,3.534,-0.718
-0.104,-0.050,0.900,-0.916,3.901,-0.641
-0.109,-0.048,0.895,-0.756,3.924,-0.427
-0.102,-0.054,0.904,-0.802,3.534,-0.489
-0.103,-0.045,0.901,-0.748,3.649,-0.565
-0.103,-0.054,0.900,-0.817,3.718,-0.573
-0.100,-0.051,0.903,-0.802,4.092,-0.603
-0.105,-0.047,0.907,-0.847,3.718,-0.565
-0.103,-0.049,0.896,-0.786,3.618,-0.496
-0.105,-0.050,0.907,-0.985,3.786,-0.557
-0.102,-0.040,0.900,-1.206,4.863,-0.611
-0.129,0.000,0.898,-0.908,2.191,-0.443
-0.129,0.036,0.911,-1.374,2.817,-0.221
-0.118,0.045,0.896,-2.038,5.618,0.710
-0.137,0.008,0.954,-3.962,-3.618,3.115
-0.075,-0.044,0.947,-7.008,-5.015,4.336
-0.113,-0.128,1.003,-4.519,-18.183,5.382
-0.080,-0.072,0.921,-3.069,-28.382,6.611
-0.039,-0.026,0.953,-7.641,-21.908,6.656
-0.048,-0.095,0.969,-13.336,-13.863,5.473
-0.061,-0.095,0.968,-18.298,-7.374,2.412
-0.060,-0.071,0.931,-22.618,-1.458,-0.771
-0.054,-0.077,0.939,-23.099,-3.664,-4.321
-0.016,-0.096,0.922,-20.901,-11.771,-5.244
0.047,-0.117,0.861,-20.901,-8.565,-4.733
0.000,-0.160,0.915,-19.153,7.183,-7.252
-0.040,-0.146,0.974,-16.656,21.099,-13.748
-0.062,-0.115,0.981,-11.122,34.366,-20.397
-0.091,-0.109,0.987,-4.580,36.511,-21.924
-0.120,-0.107,0.986,3.351,35.168,-19.389
-0.155,-0.093,1.003,9.885,36.382,-16.580
-0.169,-0.068,1.012,16.168,36.603,-13.931
-0.141,-0.072,1.003,21.809,30.870,-9.573
-0.126,-0.081,0.994,28.038,22.313,-2.847
-0.119,-0.079,0.993,34.023,13.802,3.733
-0.124,-0.052,1.005,37.733,5.160,7.115
-0.114,-0.051,0.998,40.015,0.756,8.534
-0.126,-0.058,0.972,41.527,0.519,8.435
-0.124,-0.071,0.958,42.725,4.099,7.763
-0.127,-0.086,0.936,43.092,9.588,7.435
-0.150,-0.079,0.924,41.809,15.962,9.267
-0.174,-0.074,0.908,38.466,19.962,12.740
-0.190,-0.049,0.881,34.779,19.786,16.664
-0.182,-0.050,0.886,30.733,18.702,19.954
-0.168,-0.068,0.868,27.420,18.893,23.954
-0.161,-0.068,0.856,24.649,18.740,27.557
-0.160,-0.069,0.858,21.153,19.153,29.969
-0.164,-0.042,0.860,17.122,19.466,30.595
-0.154,-0.031,0.856,11.611,19.817,30.641
-0.156,-0.027,0.870,7.145,19.405,30.985
-0.171,-0.026,0.864,3.634,20.305,32.160
-0.190,-0.023,0.896,0.702,21.298,35.023
-0.198,-0.020,0.906,-2.046,23.557,38.672
-0.224,-0.036,0.918,-4.336,24.458,43.878

-1.115,0.608,0.127,68.840,54.412,-250.137
-1.252,0.700,0.077,46.840,36.611,-250.137
-1.395,0.823,0.048,22.824,26.351,-250.137
-1.538,0.873,0.036,-0.458,25.145,-250.137
-1.631,0.958,0.021,-19.122,24.153,-241.847
-1.748,0.984,0.052,-31.099,30.015,-186.366
-1.805,1.000,0.120,-36.603,32.756,-128.115
-1.811,0.984,0.146,-39.450,29.824,-72.061
-1.759,0.948,0.203,-42.275,23.130,-23.916
-1.655,0.890,0.266,-43.817,20.405,15.359
-1.547,0.842,0.320,-40.221,22.550,45.466
-1.487,0.789,0.371,-28.321,29.198,68.786
-1.398,0.735,0.410,-10.969,36.809,89.733
-1.280,0.688,0.459,8.366,39.084,115.687
-1.181,0.679,0.483,20.137,32.206,133.489
-1.118,0.632,0.478,28.992,24.053,144.313
-1.041,0.587,0.478,35.863,16.901,155.466
-0.932,0.589,0.473,39.321,10.252,169.107
-0.871,0.598,0.471,42.397,4.947,178.511
-0.821,0.598,0.460,44.664,-1.832,184.084
-0.771,0.608,0.457,44.588,-13.160,188.252
-0.722,0.633,0.416,43.802,-20.954,191.504
-0.659,0.654,0.373,42.985,-21.206,194.809
-0.615,0.659,0.328,42.947,-16.618,199.527
-0.553,0.673,0.312,40.519,-14.817,206.031
-0.482,0.682,0.311,37.061,-13.412,210.382
-0.415,0.668,0.312,32.237,-15.466,212.748
-0.329,0.678,0.295,28.786,-14.046,211.496
-0.272,0.681,0.303,26.931,-11.458,206.244
-0.213,0.673,0.312,26.977,-10.015,198.725
-0.151,0.684,0.314,29.183,-8.076,190.580
-0.097,0.701,0.290,32.992,-3.267,180.748
-0.060,0.721,0.286,35.878,-0.282,172.053
-0.006,0.735,0.271,38.076,2.214,164.977
0.030,0.752,0.267,39.763,6.191,159.313
0.046,0.781,0.276,39.947,8.756,153.145
0.061,0.784,0.281,37.565,3.344,145.046
0.081,0.796,0.265,33.870,-8.084,136.641
0.103,0.807,0.260,29.824,-16.969,126.435
0.108,0.833,0.222,26.313,-21.153,115.130
0.101,0.839,0.216,23.359,-22.672,104.450
0.096,0.860,0.197,20.573,-22.183,96.756
0.092,0.875,0.184,18.725,-19.229,92.489
0.109,0.898,0.176,16.870,-15.794,90.947
0.139,0.896,0.146,17.435,-7.702,90.160
0.177,0.863,0.113,17.076,-0.489,88.473
0.146,0.929,0.187,18.427,4.901,88.550
0.157,0.883,0.191,20.008,7.969,84.962
0.174,0.887,0.213,19.748,6.817,77.534
0.179,0.894,0.206,18.366,0.305,69.359
0.187,0.902,0.199,18.191,-3.977,61.099
0.176,0.910,0.186,19.290,-2.977,53.863
0.165,0.913,0.174,20.542,-1.252,50.344
0.164,0.922,0.169,20.328,-1.405,49.313
0.182,0.929,0.167,19.221,-0.412,50.191
0.192,0.922,0.159,17.511,-0.351,51.626
0.201,0.922,0.159,14.496,-2.511,51.519
0.209,0.914,0.156,10.992,-7.153,49.588
0.218,0.912,0.141,6.924,-12.084,45.496
0.241,0.932,0.140,3.405,-14.298,40.847
0.245,0.933,0.128,0.565,-13.046,36.611
0.240,0.934,0.107,-1.107,-9.931,32.534
0.251,0.954,0.119,-2.244,-6.565,28.229
0.241,0.948,0.116,-2.473,-4.015,25.344
0.246,0.949,0.116,-2.611,-1.916,23.321
0.244,0.935,0.126,-3.389,1.328,21.893
0.245,0.920,0.148,-4.733,5.626,21.183
0.239,0.903,0.161,-5.817,9.565,20.321
0.235,0.914,0.164,-5.695,12.107,20.053
0.247,0.916,0.168,-3.992,12.176,19.450
0.249,0.919,0.186,-0.992,10.420,18.573
0.251,0.910,0.176,3.038,8.931,15.954
0.252,0.923,0.179,6.145,8.420,13.427
0.256,0.917,0.181,8.382,7.053,12.038
0.254,0.927,0.188,9.649,6.260,11.099
0.257,0.937,0.172,10.687,6.336,10.885
0.264,0.939,0.165,11.931,7.870,11.473
0.267,0.936,0.156,13.145,9.710,11.802
0.268,0.930,0.157,13.656,10.282,12.336
0.265,0.935,0.158,13.565,9.153,12.298
0.264,0.921,0.162,13.038,8.198,12.542
0.279,0.931,0.142,12.641,7.015,12.962
0.283,0.927,0.146,11.771,4.870,13.275
0.289,0.915,0.133,10.878,2.557,13.351
0.299,0.910,0.127,10.092,1.237,12.557
0.301,0.915,0.122,8.939,1.053,10.817
0.302,0.904,0.122,7.779,2.565,8.412
0.308,0.904,0.120,5.924,4.656,5.412
0.299,0.915,0.136,4.282,5.267,2.427
0.294,0.909,0.126,3.832,6.305,-0.137
0.300,0.920,0.121,4.252,7.740,-2.313
0.295,0.923,0.125,4.321,8.702,-4.947
0.296,0.922,0.123,3.901,8.786,-7.053
0.285,0.937,0.126,2.916,8.489,-9.504
0.271,0.940,0.127,1.969,11.176,-11.809
0.250,0.951,0.146,1.374,13.267,-13.023
0.241,0.959,0.140,1.328,13.924,-12.733
0.235,0.955,0.141,1.321,14.733,-11.603
0.221,0.958,0.158,1.450,15.893,-10.092
0.216,0.958,0.158,0.809,14.809,-8.282
0.212,0.965,0.183,-0.321,11.405,-6.725
0.209,0.955,0.173,-1.252,6.641,-5.580
0.221,0.952,0.175,-1.802,3.466,-4.496
0.213,0.956,0.165,-1.580,2.855,-3.855
0.218,0.956,0.171,-0.870,2.023,-3.305
0.224,0.954,0.167,-0.427,1.985,-2.534
0.225,0.963,0.166,0.176,1.618,-1.847
0.228,0.966,0.159,0.176,1.527,-1.053
0.232,0.963,0.159,0.366,1.450,-0.466
0.228,0.967,0.159,0.321,1.427,0.092
0.227,0.967,0.168,-0.153,0.290,0.802
0.230,0.965,0.166,-0.863,-1.794,1.405
0.232,0.956,0.157,-2.542,-5.702,1.443
0.234,0.952,0.150,-3.802,-9.305,1.084
0.241,0.950,0.141,-4.275,-9.153,0.763
0.235,0.960,0.137,-4.198,-6.275,0.527
0.238,0.949,0.127,-3.855,-3.481,1.763
0.243,0.948,0.132,-3.740,-1.748,2.809
0.242,0.946,0.142,-4.137,-1.076,3.061

