aX,aY,aZ,gX,gY,gZ
-0.865,0.079,0.880,15.931,88.855,59.794
-1.014,0.107,0.926,16.664,84.420,67.634
-1.151,0.054,0.886,17.450,66.405,85.588
-1.215,-0.011,0.846,22.863,64.328,112.557
-1.301,0.066,0.836,25.511,63.382,150.557
-1.391,-0.024,0.824,24.855,44.809,197.809
-1.433,-0.042,0.873,26.725,23.374,249.382
-1.385,-0.138,0.855,32.573,7.237,250.130
-1.217,-0.141,0.831,45.992,2.725,250.130
-1.098,-0.287,0.865,64.557,-1.962,250.130
-0.965,-0.372,0.839,83.817,-1.176,250.130
-0.804,-0.342,0.838,102.252,-12.496,250.130
-0.532,-0.319,0.759,118.695,-20.939,250.130
-0.350,-0.203,0.739,123.908,-13.565,250.130
-0.201,-0.151,0.700,121.641,-18.084,250.130
-0.040,-0.057,0.605,117.794,-13.328,250.130
0.117,0.046,0.597,108.573,-9.863,250.130
0.276,0.173,0.529,96.534,-18.687,250.130
0.471,0.195,0.469,88.221,-15.679,250.130
0.619,0.297,0.430,74.374,-10.687,250.130
0.749,0.341,0.413,58.229,-15.595,250.130
0.884,0.337,0.326,39.168,-18.649,250.130
1.023,0.380,0.286,22.779,-9.389,250.130
1.146,0.396,0.264,11.191,15.817,250.130
1.216,0.358,0.317,4.137,42.008,250.130
1.219,0.347,0.366,-2.687,58.351,250.130
1.225,0.320,0.433,-8.145,60.305,234.511
1.220,0.291,0.511,-14.282,53.718,202.542
1.195,0.296,0.594,-19.901,32.473,156.763
1.155,0.313,0.606,-19.855,15.168,104.168
1.107,0.291,0.619,-15.122,3.664,47.351
1.080,0.334,0.593,-7.656,2.122,-8.122
1.022,0.359,0.573,1.573,12.931,-56.626
0.940,0.374,0.531,9.137,32.031,-91.725
0.833,0.424,0.526,13.794,60.046,-116.321
0.657,0.444,0.590,14.885,78.344,-137.786
0.529,0.489,0.631,11.939,81.023,-152.947
0.412,0.519,0.670,9.916,80.519,-161.947
0.321,0.544,0.684,10.519,80.061,-168.557
0.233,0.574,0.723,12.939,75.023,-173.542
0.159,0.607,0.720,17.160,64.489,-174.107
0.070,0.599,0.711,21.618,51.359,-170.878
0.021,0.648,0.731,24.893,36.779,-162.328
-0.018,0.679,0.682,28.328,26.916,-151.412
-0.038,0.697,0.649,32.519,26.015,-138.298
-0.068,0.758,0.645,36.733,30.771,-121.977
-0.079,0.751,0.623,40.634,38.519,-102.718
-0.097,0.775,0.593,41.580,45.107,-83.130
-0.145,0.770,0.579,42.481,54.901,-66.366
-0.180,0.793,0.588,43.046,56.649,-55.374
-0.206,0.787,0.593,41.939,53.771,-44.420
-0.233,0.788,0.604,37.130,41.878,-34.389
-0.247,0.809,0.603,31.008,23.359,-25.015
-0.209,0.803,0.576,27.809,14.832,-16.244
-0.195,0.785,0.562,25.824,11.290,-9.359
