aX,aY,aZ,gX,gY,gZ
-0.013,-0.179,1.790,-4.684,2.464,-0.465
-0.045,-0.164,1.882,-4.337,2.459,-0.496
-0.074,-0.160,1.943,-4.067,2.402,-0.518
-0.104,-0.162,1.997,-3.791,2.306,-0.541
-0.128,-0.168,2.041,-3.508,2.190,-0.561
-0.142,-0.167,2.085,-3.219,2.068,-0.576
-0.146,-0.156,2.127,-2.930,1.955,-0.583
-0.152,-0.141,2.165,-2.646,1.849,-0.580
-0.164,-0.125,2.197,-2.363,1.745,-0.566
-0.182,-0.112,2.226,-2.079,1.627,-0.545
-0.201,-0.106,2.249,-1.797,1.485,-0.514
-0.218,-0.107,2.264,-1.514,1.318,-0.475
-0.232,-0.112,2.272,-1.226,1.136,-0.428
-0.243,-0.111,2.271,-0.933,0.945,-0.375
-0.269,-0.111,2.226,0.327,0.150,-0.113
-0.269,-0.114,2.203,0.599,-0.017,-0.049
-0.268,-0.117,2.173,0.861,-0.177,0.016
-0.265,-0.116,2.136,1.115,-0.331,0.082
-0.258,-0.116,2.088,1.363,-0.480,0.147
-0.249,-0.118,2.032,1.608,-0.622,0.212
-0.236,-0.123,1.971,1.852,-0.749,0.276
-0.224,-0.125,1.908,2.091,-0.848,0.335
-0.210,-0.120,1.845,2.323,-0.915,0.390
-0.194,-0.105,1.781,2.543,-0.955,0.438
-0.181,-0.087,1.726,2.748,-0.973,0.481
-0.169,-0.069,1.675,2.929,-0.978,0.519
-0.160,-0.053,1.625,3.086,-0.976,0.552
-0.153,-0.040,1.575,3.218,-0.977,0.585
-0.146,-0.027,1.530,3.325,-0.987,0.617
-0.139,-0.009,1.486,3.408,-1.007,0.646
-0.131,0.009,1.442,3.470,-1.043,0.673
-0.121,0.028,1.398,3.516,-1.091,0.696
-0.110,0.045,1.355,3.549,-1.146,0.716
-0.096,0.059,1.312,3.573,-1.202,0.731
-0.030,0.108,1.144,3.602,-1.338,0.742
-0.013,0.119,1.113,3.597,-1.329,0.732
0.004,0.130,1.083,3.590,-1.305,0.718
0.021,0.143,1.055,3.579,-1.269,0.702
0.036,0.157,1.032,3.565,-1.222,0.683
0.047,0.169,1.007,3.549,-1.169,0.661
0.057,0.182,0.983,3.533,-1.113,0.637
0.066,0.192,0.960,3.516,-1.058,0.612
0.071,0.203,0.938,3.501,-1.004,0.582
0.077,0.212,0.918,3.490,-0.949,0.550
0.081,0.217,0.898,3.481,-0.894,0.515
0.080,0.223,0.878,3.479,-0.840,0.478
0.080,0.226,0.857,3.481,-0.786,0.441
0.077,0.228,0.836,3.489,-0.739,0.402
0.072,0.230,0.815,3.501,-0.700,0.365
0.069,0.233,0.795,3.518,-0.670,0.329
0.067,0.241,0.773,3.541,-0.645,0.294
0.066,0.250,0.752,3.566,-0.624,0.263
0.064,0.259,0.732,3.594,-0.604,0.231
0.064,0.273,0.713,3.624,-0.583,0.202
0.062,0.285,0.692,3.650,-0.564,0.173
0.059,0.303,0.675,3.677,-0.547,0.146
0.062,0.323,0.660,3.698,-0.528,0.120
0.064,0.342,0.651,3.713,-0.508,0.096
0.066,0.359,0.637,3.719,-0.483,0.074
0.064,0.378,0.624,3.718,-0.452,0.053
0.063,0.399,0.614,3.708,-0.426,0.031
0.063,0.417,0.609,3.686,-0.403,0.015
0.067,0.489,0.594,3.501,-0.278,-0.016
0.071,0.520,0.591,3.439,-0.252,-0.022
0.075,0.552,0.591,3.370,-0.232,-0.031
0.078,0.573,0.588,3.301,-0.215,-0.039
0.078,0.585,0.585,3.229,-0.202,-0.049
0.079,0.594,0.582,3.158,-0.192,-0.057
0.077,0.599,0.580,3.087,-0.184,-0.067
0.074,0.604,0.577,3.020,-0.178,-0.076
0.070,0.607,0.575,2.956,-0.171,-0.082
0.065,0.608,0.572,2.898,-0.167,-0.088
0.057,0.611,0.564,2.841,-0.169,-0.094
0.052,0.616,0.559,2.789,-0.178,-0.098
0.047,0.621,0.555,2.743,-0.189,-0.100
0.042,0.624,0.546,2.700,-0.205,-0.102
0.038,0.626,0.537,2.664,-0.227,-0.102
0.035,0.626,0.528,2.632,-0.250,-0.102
0.033,0.625,0.518,2.604,-0.272,-0.101
0.035,0.627,0.509,2.581,-0.289,-0.099

0.289,0.868,-0.788,-1.775,-0.016,-0.276
0.289,0.868,-0.811,-2.079,0.040,-0.316
0.292,0.856,-0.837,-2.398,0.119,-0.361
0.293,0.846,-0.860,-2.723,0.215,-0.408
0.295,0.841,-0.871,-3.058,0.331,-0.457
0.295,0.831,-0.874,-3.404,0.457,-0.506
0.289,0.818,-0.870,-3.765,0.575,-0.549
0.277,0.801,-0.858,-4.137,0.678,-0.589
0.261,0.777,-0.835,-4.516,0.762,-0.623
0.242,0.747,-0.805,-4.900,0.834,-0.656
0.225,0.715,-0.764,-5.288,0.902,-0.689
0.206,0.683,-0.713,-5.673,0.974,-0.720
0.184,0.651,-0.653,-6.053,1.048,-0.752
0.160,0.619,-0.586,-6.423,1.121,-0.783
0.137,0.586,-0.511,-6.778,1.181,-0.812
0.113,0.556,-0.432,-7.114,1.227,-0.839
0.094,0.529,-0.352,-7.424,1.255,-0.861
0.081,0.501,-0.265,-7.703,1.270,-0.879
0.079,0.469,-0.176,-7.943,1.285,-0.890
0.107,0.332,0.264,-8.460,1.508,-0.826
0.108,0.305,0.379,-8.447,1.576,-0.793
0.108,0.284,0.497,-8.388,1.635,-0.757
0.107,0.270,0.615,-8.287,1.681,-0.718
0.106,0.262,0.736,-8.147,1.713,-0.680
0.104,0.262,0.855,-7.973,1.728,-0.644
0.098,0.263,0.972,-7.771,1.725,-0.613
0.096,0.276,1.085,-7.543,1.708,-0.592
0.102,0.302,1.191,-7.294,1.685,-0.578
0.108,0.337,1.292,-7.021,1.655,-0.573
0.113,0.365,1.388,-6.723,1.620,-0.577
0.114,0.385,1.481,-6.403,1.579,-0.586
0.110,0.391,1.567,-6.065,1.531,-0.598
0.101,0.393,1.647,-5.712,1.473,-0.611
0.085,0.392,1.720,-5.343,1.406,-0.625
0.067,0.398,1.789,-4.968,1.326,-0.637
0.047,0.408,1.848,-4.586,1.237,-0.650
0.026,0.422,1.900,-4.203,1.136,-0.662
0.006,0.437,1.944,-3.821,1.028,-0.669
-0.018,0.448,1.980,-3.441,0.914,-0.669
-0.042,0.457,2.007,-3.064,0.795,-0.663
-0.067,0.464,2.027,-2.698,0.667,-0.647
-0.149,0.501,2.021,-1.228,0.059,-0.435
-0.161,0.518,1.992,-0.839,-0.118,-0.326
-0.164,0.530,1.967,-0.567,-0.236,-0.233
-0.162,0.542,1.935,-0.316,-0.338,-0.132
-0.157,0.549,1.899,-0.082,-0.424,-0.023
-0.150,0.555,1.863,0.132,-0.488,0.088
-0.139,0.559,1.825,0.328,-0.536,0.201
-0.128,0.560,1.785,0.507,-0.567,0.312
-0.115,0.561,1.745,0.667,-0.585,0.419
-0.101,0.560,1.703,0.814,-0.593,0.519
-0.086,0.557,1.662,0.945,-0.593,0.614
-0.070,0.552,1.622,1.065,-0.586,0.700
-0.054,0.548,1.582,1.175,-0.575,0.778
-0.034,0.544,1.543,1.277,-0.560,0.848
-0.014,0.542,1.506,1.371,-0.537,0.909
0.007,0.544,1.466,1.459,-0.513,0.963
0.026,0.547,1.429,1.544,-0.491,1.007
0.044,0.549,1.393,1.625,-0.473,1.045
0.056,0.551,1.370,1.677,-0.464,1.065
0.073,0.551,1.336,1.755,-0.461,1.090
0.090,0.550,1.299,1.828,-0.465,1.109
0.105,0.548,1.263,1.901,-0.478,1.120
0.120,0.547,1.229,1.971,-0.497,1.124
0.186,0.557,1.065,2.275,-0.625,1.059
0.200,0.560,1.030,2.338,-0.651,1.030
0.211,0.563,0.996,2.401,-0.674,0.997
0.223,0.565,0.962,2.462,-0.687,0.961
0.230,0.567,0.940,2.501,-0.693,0.935
0.238,0.569,0.908,2.557,-0.692,0.896
0.243,0.570,0.878,2.613,-0.682,0.856
0.247,0.572,0.847,2.664,-0.665,0.816
0.250,0.576,0.816,2.714,-0.645,0.776
0.252,0.582,0.789,2.762,-0.623,0.736
0.255,0.586,0.763,2.805,-0.599,0.698
0.255,0.587,0.739,2.847,-0.575,0.663
0.256,0.586,0.716,2.886,-0.549,0.631
0.256,0.582,0.692,2.921,-0.525,0.601
0.256,0.577,0.672,2.955,-0.503,0.577
0.257,0.574,0.651,2.985,-0.484,0.557

0.099,0.374,1.498,-5.515,1.956,-0.594
0.081,0.385,1.565,-5.263,1.840,-0.653
0.061,0.391,1.630,-5.000,1.710,-0.709
0.040,0.391,1.687,-4.726,1.565,-0.755
0.020,0.390,1.739,-4.443,1.412,-0.789
-0.000,0.388,1.783,-4.153,1.252,-0.809
-0.019,0.388,1.823,-3.856,1.089,-0.815
-0.035,0.394,1.858,-3.557,0.926,-0.807
-0.048,0.403,1.886,-3.255,0.765,-0.785
-0.058,0.414,1.906,-2.957,0.612,-0.749
-0.062,0.426,1.920,-2.662,0.466,-0.702
-0.061,0.438,1.930,-2.375,0.330,-0.643
-0.060,0.445,1.931,-2.092,0.208,-0.571
-0.059,0.448,1.927,-1.815,0.098,-0.491
-0.058,0.447,1.923,-1.542,0.002,-0.405
-0.058,0.448,1.912,-1.276,-0.079,-0.319
-0.057,0.449,1.896,-1.018,-0.147,-0.235
-0.054,0.448,1.879,-0.770,-0.202,-0.154
-0.052,0.448,1.859,-0.531,-0.246,-0.079
-0.032,0.465,1.757,0.387,-0.350,0.167
-0.027,0.471,1.733,0.570,-0.359,0.208
-0.020,0.474,1.708,0.744,-0.368,0.246
-0.014,0.474,1.682,0.907,-0.378,0.281
-0.008,0.475,1.652,1.063,-0.392,0.316
-0.001,0.475,1.622,1.212,-0.410,0.349
0.006,0.475,1.591,1.356,-0.434,0.381
0.010,0.477,1.557,1.495,-0.467,0.411
0.017,0.479,1.522,1.628,-0.510,0.438
0.024,0.481,1.486,1.757,-0.561,0.462
0.033,0.482,1.447,1.883,-0.615,0.482
0.044,0.483,1.406,2.006,-0.669,0.500
0.055,0.483,1.365,2.126,-0.720,0.514
0.064,0.482,1.319,2.244,-0.766,0.524
0.075,0.484,1.274,2.360,-0.807,0.530
0.087,0.484,1.231,2.473,-0.841,0.533
0.096,0.486,1.187,2.583,-0.868,0.533
0.107,0.490,1.145,2.686,-0.892,0.532
0.118,0.496,1.100,2.784,-0.906,0.527
0.126,0.500,1.056,2.874,-0.908,0.520
0.136,0.507,1.014,2.955,-0.899,0.512
0.144,0.514,0.975,3.028,-0.880,0.503
0.149,0.523,0.936,3.092,-0.852,0.493
0.155,0.535,0.899,3.145,-0.819,0.480
0.160,0.549,0.865,3.188,-0.780,0.466
0.165,0.562,0.831,3.221,-0.734,0.452
0.168,0.577,0.801,3.247,-0.685,0.438
0.177,0.629,0.691,3.268,-0.436,0.376
0.175,0.636,0.669,3.257,-0.378,0.363
0.171,0.642,0.650,3.240,-0.325,0.351
0.167,0.651,0.635,3.219,-0.279,0.341
0.162,0.661,0.621,3.196,-0.245,0.330
0.157,0.672,0.610,3.169,-0.223,0.319
0.152,0.680,0.596,3.138,-0.213,0.310
0.150,0.689,0.584,3.108,-0.212,0.301
0.149,0.695,0.573,3.077,-0.218,0.293
0.147,0.702,0.561,3.046,-0.232,0.285
0.145,0.707,0.546,3.016,-0.254,0.280
0.144,0.711,0.532,2.988,-0.285,0.275
0.145,0.715,0.520,2.963,-0.321,0.270
0.149,0.719,0.506,2.937,-0.358,0.268
0.153,0.723,0.494,2.914,-0.393,0.266
0.157,0.726,0.483,2.891,-0.424,0.265
0.161,0.729,0.472,2.870,-0.448,0.265
0.165,0.731,0.462,2.847,-0.466,0.262
0.170,0.734,0.453,2.823,-0.477,0.260
0.174,0.737,0.447,2.805,-0.482,0.258
0.180,0.745,0.438,2.778,-0.485,0.252
0.188,0.753,0.428,2.748,-0.485,0.248
0.197,0.759,0.417,2.716,-0.483,0.244
0.207,0.764,0.408,2.684,-0.476,0.239
0.217,0.768,0.399,2.651,-0.461,0.234
0.227,0.771,0.391,2.620,-0.440,0.230
0.237,0.773,0.382,2.590,-0.410,0.225
0.247,0.773,0.373,2.562,-0.372,0.220
0.279,0.783,0.343,2.445,-0.154,0.189
0.282,0.788,0.338,2.419,-0.115,0.178
0.284,0.792,0.337,2.402,-0.093,0.168
0.284,0.795,0.331,2.374,-0.068,0.153
0.281,0.800,0.325,2.346,-0.053,0.136
0.279,0.805,0.320,2.316,-0.049,0.117

-0.093,0.264,1.668,-5.156,1.854,-0.826
-0.113,0.267,1.713,-4.911,1.647,-0.824
-0.131,0.271,1.755,-4.661,1.421,-0.815
-0.143,0.270,1.793,-4.405,1.187,-0.803
-0.151,0.268,1.826,-4.144,0.952,-0.784
-0.155,0.266,1.853,-3.878,0.728,-0.759
-0.156,0.263,1.874,-3.606,0.514,-0.727
-0.156,0.261,1.895,-3.329,0.309,-0.687
-0.156,0.257,1.913,-3.048,0.116,-0.642
-0.154,0.251,1.927,-2.764,-0.062,-0.592
-0.150,0.249,1.935,-2.480,-0.221,-0.538
-0.140,0.251,1.945,-2.193,-0.358,-0.481
-0.129,0.253,1.951,-1.907,-0.469,-0.421
-0.118,0.254,1.953,-1.622,-0.554,-0.362
-0.107,0.256,1.952,-1.337,-0.615,-0.301
-0.098,0.256,1.950,-1.053,-0.653,-0.242
-0.092,0.254,1.943,-0.772,-0.676,-0.185
-0.086,0.250,1.934,-0.495,-0.689,-0.129
-0.084,0.236,1.858,0.635,-0.718,0.099
-0.086,0.234,1.831,0.876,-0.729,0.147
-0.085,0.234,1.801,1.107,-0.738,0.193
-0.083,0.234,1.768,1.327,-0.744,0.236
-0.083,0.239,1.733,1.537,-0.748,0.279
-0.081,0.245,1.696,1.735,-0.756,0.321
-0.079,0.253,1.661,1.920,-0.768,0.363
-0.077,0.261,1.626,2.091,-0.789,0.404
-0.075,0.271,1.589,2.251,-0.816,0.445
-0.071,0.281,1.549,2.399,-0.852,0.485
-0.065,0.291,1.511,2.534,-0.895,0.525
-0.058,0.301,1.472,2.661,-0.941,0.561
-0.048,0.311,1.433,2.778,-0.989,0.596
-0.037,0.320,1.393,2.888,-1.038,0.630
-0.024,0.330,1.352,2.990,-1.082,0.662
-0.013,0.340,1.312,3.087,-1.123,0.690
-0.000,0.349,1.272,3.178,-1.158,0.714
0.012,0.359,1.236,3.263,-1.191,0.735
0.026,0.369,1.198,3.345,-1.219,0.755
0.041,0.379,1.164,3.419,-1.241,0.768
0.054,0.387,1.128,3.492,-1.255,0.780
0.065,0.392,1.095,3.559,-1.260,0.788
0.075,0.395,1.060,3.624,-1.259,0.793
0.084,0.397,1.027,3.685,-1.254,0.795
0.106,0.419,0.889,3.912,-1.222,0.764
0.110,0.429,0.861,3.951,-1.224,0.749
0.116,0.440,0.833,3.986,-1.227,0.731
0.123,0.451,0.807,4.015,-1.227,0.709
0.130,0.462,0.778,4.042,-1.222,0.686
0.137,0.475,0.750,4.065,-1.213,0.663
0.146,0.487,0.722,4.086,-1.199,0.640
0.155,0.498,0.697,4.103,-1.179,0.617
0.164,0.508,0.674,4.119,-1.153,0.598
0.172,0.519,0.651,4.129,-1.120,0.579
0.181,0.531,0.630,4.137,-1.078,0.561
0.187,0.543,0.611,4.141,-1.030,0.545
0.193,0.555,0.594,4.140,-0.977,0.529
0.198,0.569,0.576,4.136,-0.921,0.512
0.202,0.581,0.560,4.126,-0.863,0.495
0.204,0.594,0.542,4.112,-0.807,0.477
