aX,aY,aZ,gX,gY,gZ
-0.082,0.292,1.095,-38.008,17.321,-15.115
-0.206,0.356,1.227,-22.542,4.756,-14.603
-0.307,0.394,1.154,-8.794,-5.198,-10.053
-0.334,0.377,0.930,-0.183,-12.947,-3.794
-0.261,0.318,0.700,3.863,-15.206,2.672
-0.128,0.250,0.546,5.267,-11.985,7.603
-0.014,0.203,0.497,5.679,-5.809,10.000
0.067,0.186,0.519,5.588,-1.656,10.198
0.128,0.190,0.576,6.046,0.595,8.992
0.156,0.200,0.635,7.855,0.840,7.008
0.156,0.214,0.648,11.481,-0.611,4.443
0.139,0.235,0.613,15.298,-2.863,2.359
0.118,0.265,0.548,18.397,-5.557,0.969
0.101,0.289,0.467,20.534,-7.840,0.145
0.086,0.306,0.392,21.939,-9.466,-0.290
0.079,0.326,0.324,22.748,-10.511,-0.374
0.083,0.343,0.259,23.115,-10.908,-0.137
0.090,0.350,0.202,23.038,-10.824,0.275
0.109,0.368,0.148,22.412,-10.344,0.641
0.125,0.380,0.115,21.344,-9.489,0.756
0.141,0.392,0.091,19.947,-8.153,0.702
0.149,0.401,0.074,18.473,-7.130,0.550
0.158,0.409,0.057,16.931,-6.718,0.267
0.163,0.409,0.040,15.527,-6.679,-0.298
0.165,0.414,0.023,14.229,-6.542,-1.092
0.164,0.425,0.006,12.847,-6.122,-1.924
0.160,0.436,-0.012,11.313,-5.351,-2.588
0.150,0.447,-0.023,9.702,-4.351,-3.038
0.140,0.456,-0.026,8.015,-3.374,-3.168
0.132,0.467,-0.025,6.260,-2.412,-3.046
0.125,0.471,-0.019,4.847,-1.832,-2.687
0.121,0.474,-0.011,3.710,-1.458,-2.214
0.123,0.479,-0.003,2.756,-1.176,-1.824
0.124,0.474,0.007,2.015,-0.947,-1.496
0.128,0.477,0.015,1.557,-0.336,-1.336
0.127,0.479,0.027,1.282,0.344,-1.298
0.127,0.479,0.035,1.176,0.634,-1.252
0.127,0.477,0.043,1.313,0.771,-1.206
0.125,0.477,0.046,1.481,0.641,-1.107
0.123,0.479,0.044,1.405,0.122,-1.008
0.123,0.477,0.040,1.160,-0.221,-0.885
0.123,0.479,0.038,0.863,-0.214,-0.855
0.123,0.479,0.039,0.580,-0.137,-0.817
0.121,0.477,0.043,0.359,-0.023,-0.702
0.121,0.477,0.046,0.122,0.076,-0.565
0.122,0.479,0.047,-0.198,0.191,-0.481
0.123,0.479,0.051,-0.542,0.313,-0.420
0.122,0.478,0.054,-0.817,0.450,-0.366
0.124,0.477,0.060,-0.954,0.710,-0.321
0.123,0.478,0.068,-1.076,0.756,-0.244

-0.049,0.281,1.079,-37.053,21.389,-9.756
-0.090,0.374,1.186,-21.519,6.237,-9.023
-0.140,0.376,1.089,-8.847,-4.183,-6.076
-0.133,0.341,0.886,-0.443,-9.748,-1.641
-0.092,0.284,0.705,3.756,-9.504,2.901
-0.034,0.243,0.607,5.580,-5.427,6.542
0.022,0.213,0.594,6.534,-0.290,9.023
0.076,0.201,0.629,7.595,3.221,10.382
0.122,0.194,0.667,9.573,4.550,10.504
0.148,0.189,0.671,12.748,3.351,9.344
0.170,0.199,0.637,16.015,0.137,7.450
0.193,0.212,0.564,19.000,-3.366,5.122
0.203,0.235,0.471,21.252,-5.954,2.595
0.195,0.259,0.378,22.573,-7.977,0.069
0.178,0.285,0.291,23.000,-9.611,-2.122
0.164,0.313,0.222,22.679,-10.779,-3.672
