aX,aY,aZ,gX,gY,gZ
-0.058,0.085,1.811,2.588,1.870,1.195
-0.075,0.069,1.843,2.951,1.939,1.237
-0.098,0.050,1.872,3.329,1.987,1.281
-0.123,0.029,1.897,3.715,2.002,1.330
-0.151,0.016,1.916,4.103,1.982,1.383
-0.182,-0.003,1.929,4.487,1.913,1.438
-0.215,-0.017,1.930,4.865,1.795,1.491
-0.245,-0.037,1.925,5.230,1.623,1.548
-0.268,-0.040,1.906,5.581,1.403,1.605
-0.287,-0.066,1.889,5.915,1.142,1.659
-0.307,-0.079,1.855,6.229,0.852,1.709
-0.320,-0.104,1.823,6.522,0.536,1.753
-0.330,-0.117,1.775,6.790,0.210,1.787
-0.333,-0.146,1.734,7.031,-0.126,1.816
-0.336,-0.140,1.679,7.241,-0.455,1.833
-0.325,-0.138,1.630,7.421,-0.805,1.841
-0.317,-0.137,1.570,7.563,-1.140,1.842
-0.307,-0.125,1.505,7.675,-1.479,1.832
-0.289,-0.106,1.435,7.756,-1.826,1.813
-0.150,0.019,1.088,7.811,-3.079,1.669
-0.112,0.052,1.004,7.768,-3.277,1.627
-0.082,0.081,0.920,7.707,-3.441,1.584
-0.055,0.108,0.834,7.629,-3.566,1.537
-0.024,0.141,0.752,7.538,-3.656,1.486
0.009,0.176,0.672,7.433,-3.707,1.435
0.027,0.192,0.592,7.313,-3.722,1.382
0.042,0.220,0.519,7.181,-3.704,1.325
0.078,0.277,0.447,7.036,-3.649,1.263
0.110,0.348,0.383,6.862,-3.557,1.217
0.121,0.400,0.309,6.665,-3.458,1.182
0.133,0.439,0.239,6.457,-3.343,1.150
0.151,0.483,0.164,6.236,-3.204,1.120
0.179,0.524,0.095,6.011,-3.016,1.086
0.201,0.555,0.029,5.781,-2.769,1.048
0.224,0.592,-0.032,5.545,-2.474,1.009
0.249,0.635,-0.088,5.303,-2.139,0.965
0.274,0.677,-0.136,5.056,-1.780,0.922
0.294,0.709,-0.177,4.804,-1.410,0.880
0.302,0.726,-0.210,4.550,-1.046,0.842
0.302,0.737,-0.234,4.291,-0.702,0.806
0.302,0.751,-0.252,4.024,-0.391,0.772
0.297,0.762,-0.260,3.749,-0.117,0.735
0.289,0.772,-0.263,3.465,0.113,0.698
0.282,0.785,-0.264,3.175,0.302,0.657
0.279,0.838,-0.241,1.893,0.825,0.440
0.280,0.840,-0.227,1.610,0.918,0.384
0.278,0.840,-0.209,1.339,1.009,0.329
0.279,0.840,-0.189,1.077,1.097,0.275
0.279,0.839,-0.166,0.828,1.186,0.223
0.275,0.840,-0.140,0.593,1.275,0.178
0.267,0.839,-0.113,0.372,1.361,0.137
0.257,0.833,-0.086,0.166,1.444,0.101
0.245,0.826,-0.053,-0.026,1.522,0.071
0.232,0.821,-0.017,-0.208,1.590,0.046
0.220,0.819,0.019,-0.379,1.644,0.027
0.207,0.817,0.054,-0.540,1.688,0.012
0.197,0.816,0.087,-0.690,1.723,0.001
0.188,0.817,0.118,-0.830,1.756,-0.007
0.178,0.815,0.151,-0.960,1.787,-0.013
0.167,0.815,0.185,-1.082,1.816,-0.018
0.159,0.814,0.213,-1.197,1.841,-0.023
