aX,aY,aZ,gX,gY,gZ
1.122,0.584,0.195,1.056,1.813,-2.450
1.138,0.535,0.202,1.033,1.692,-2.799
1.146,0.485,0.208,0.992,1.531,-3.181
1.145,0.429,0.206,0.935,1.343,-3.589
1.135,0.372,0.201,0.871,1.141,-4.010
1.107,0.324,0.193,0.801,0.944,-4.435
1.056,0.287,0.184,0.726,0.752,-4.856
0.989,0.261,0.176,0.642,0.566,-5.267
0.905,0.246,0.165,0.549,0.394,-5.661
0.806,0.240,0.151,0.452,0.238,-6.032
0.696,0.239,0.137,0.352,0.102,-6.373
0.579,0.246,0.124,0.251,-0.013,-6.676
0.452,0.261,0.113,0.153,-0.109,-6.934
0.316,0.283,0.103,0.057,-0.186,-7.142
0.177,0.308,0.094,-0.035,-0.249,-7.300
0.032,0.343,0.089,-0.123,-0.301,-7.406
-0.117,0.386,0.087,-0.210,-0.350,-7.463
-0.272,0.439,0.089,-0.296,-0.399,-7.477
-0.433,0.495,0.096,-0.380,-0.453,-7.452
-1.188,0.759,0.083,-0.684,-0.782,-6.928
-1.353,0.831,0.070,-0.734,-0.878,-6.694
-1.503,0.903,0.055,-0.777,-0.974,-6.406
-1.632,0.975,0.038,-0.812,-1.070,-6.061
-1.747,1.055,0.027,-0.841,-1.173,-5.660
-1.834,1.131,0.014,-0.864,-1.250,-5.214
-1.900,1.200,0.006,-0.879,-1.287,-4.725
-1.951,1.258,0.004,-0.885,-1.285,-4.198
-1.987,1.301,0.009,-0.885,-1.260,-3.642
-2.013,1.337,0.025,-0.880,-1.233,-3.067
-2.024,1.365,0.048,-0.868,-1.219,-2.489
-2.021,1.381,0.075,-0.849,-1.215,-1.921
-2.006,1.376,0.105,-0.818,-1.222,-1.373
-1.978,1.349,0.139,-0.777,-1.239,-0.855
-1.937,1.312,0.172,-0.720,-1.262,-0.368
-1.886,1.271,0.206,-0.652,-1.290,0.082
-1.827,1.230,0.236,-0.575,-1.320,0.495
-1.504,1.093,0.317,-0.156,-1.422,1.880
-1.424,1.067,0.325,-0.048,-1.424,2.115
-1.349,1.043,0.328,0.064,-1.421,2.322
-1.275,1.019,0.326,0.179,-1.411,2.503
-1.207,0.993,0.322,0.296,-1.397,2.661
-1.142,0.966,0.313,0.414,-1.377,2.794
-1.081,0.940,0.300,0.532,-1.349,2.907
-1.023,0.911,0.283,0.649,-1.312,3.003
-0.966,0.880,0.267,0.761,-1.265,3.087
-0.908,0.850,0.246,0.866,-1.210,3.161
-0.848,0.827,0.222,0.963,-1.147,3.230
-0.786,0.811,0.195,1.047,-1.074,3.293
-0.721,0.803,0.170,1.117,-0.990,3.347
-0.658,0.797,0.144,1.172,-0.898,3.390
-0.597,0.788,0.118,1.210,-0.802,3.421
-0.541,0.775,0.094,1.232,-0.705,3.440
-0.484,0.760,0.072,1.238,-0.607,3.446
-0.427,0.747,0.052,1.229,-0.513,3.441
-0.373,0.738,0.039,1.207,-0.421,3.423
-0.321,0.734,0.028,1.170,-0.336,3.393
-0.272,0.732,0.017,1.122,-0.260,3.349
-0.225,0.731,0.009,1.062,-0.194,3.293
-0.065,0.728,-0.008,0.727,-0.010,2.903
-0.037,0.730,-0.010,0.642,0.015,2.788
-0.012,0.733,-0.011,0.558,0.035,2.670
0.009,0.736,-0.006,0.475,0.054,2.548
0.025,0.741,-0.002,0.394,0.069,2.426
0.037,0.747,0.003,0.316,0.082,2.307
0.045,0.755,0.009,0.242,0.092,2.193
0.050,0.762,0.016,0.171,0.097,2.085
0.053,0.771,0.022,0.107,0.099,1.985
0.053,0.779,0.028,0.049,0.099,1.893
0.052,0.788,0.035,-0.005,0.098,1.811
0.051,0.799,0.041,-0.054,0.095,1.740
0.049,0.812,0.046,-0.099,0.092,1.675
0.049,0.828,0.052,-0.142,0.092,1.615
0.049,0.843,0.058,-0.182,0.092,1.564
0.047,0.855,0.064,-0.218,0.093,1.519
0.045,0.864,0.067,-0.249,0.092,1.477
0.046,0.873,0.073,-0.274,0.093,1.441
0.046,0.879,0.078,-0.292,0.098,1.409
0.046,0.883,0.083,-0.306,0.104,1.382
0.045,0.885,0.091,-0.315,0.114,1.361
0.045,0.889,0.098,-0.318,0.123,1.343

1.256,0.615,0.166,0.338,0.846,-1.874
1.339,0.575,0.178,0.314,0.826,-2.188
1.402,0.536,0.204,0.267,0.719,-2.533
1.441,0.509,0.211,0.198,0.542,-2.910
1.459,0.447,0.205,0.123,0.377,-3.329
1.438,0.350,0.189,0.059,0.263,-3.788
1.381,0.241,0.171,0.007,0.218,-4.280
1.295,0.153,0.151,-0.024,0.242,-4.802
1.185,0.096,0.140,-0.037,0.308,-5.340
1.057,0.070,0.132,-0.036,0.393,-5.880
0.912,0.071,0.139,-0.027,0.480,-6.397
0.746,0.094,0.152,-0.026,0.531,-6.866
0.570,0.138,0.159,-0.037,0.535,-7.275
0.391,0.194,0.157,-0.066,0.503,-7.613
0.212,0.258,0.148,-0.109,0.451,-7.877
0.035,0.328,0.128,-0.165,0.394,-8.066
-0.138,0.403,0.102,-0.231,0.338,-8.180
-0.307,0.478,0.073,-0.304,0.285,-8.221
-0.470,0.552,0.048,-0.386,0.238,-8.191
-0.628,0.620,0.031,-0.475,0.196,-8.090
-0.782,0.684,0.022,-0.573,0.145,-7.923
-0.930,0.750,0.024,-0.677,0.073,-7.700
-1.068,0.813,0.030,-0.784,-0.003,-7.429
-1.525,1.001,0.117,-1.149,-0.345,-5.837
-1.595,1.038,0.147,-1.195,-0.428,-5.403
-1.648,1.072,0.181,-1.220,-0.508,-4.958
-1.688,1.098,0.214,-1.221,-0.577,-4.509
-1.717,1.117,0.247,-1.195,-0.631,-4.062
-1.736,1.130,0.278,-1.143,-0.670,-3.623
-1.746,1.136,0.312,-1.064,-0.694,-3.198
-1.748,1.136,0.344,-0.958,-0.703,-2.788
-1.743,1.131,0.374,-0.830,-0.701,-2.398
-1.732,1.119,0.398,-0.682,-0.693,-2.024
-1.715,1.103,0.418,-0.519,-0.681,-1.669
-1.692,1.087,0.433,-0.347,-0.664,-1.329
-1.661,1.074,0.442,-0.170,-0.643,-1.010
-1.628,1.060,0.444,0.007,-0.615,-0.709
-1.590,1.047,0.441,0.183,-0.583,-0.427
-1.550,1.035,0.437,0.351,-0.546,-0.165
-1.512,1.022,0.427,0.508,-0.511,0.078
-1.356,0.945,0.372,1.021,-0.477,0.970
-1.316,0.929,0.356,1.097,-0.504,1.146
-1.273,0.913,0.339,1.157,-0.542,1.313
-1.228,0.898,0.321,1.203,-0.584,1.472
-1.180,0.884,0.305,1.235,-0.631,1.617
-1.129,0.873,0.290,1.256,-0.678,1.750
-1.079,0.861,0.276,1.267,-0.720,1.870
-1.031,0.849,0.261,1.271,-0.758,1.975
-0.982,0.838,0.251,1.269,-0.788,2.067
-0.933,0.830,0.240,1.261,-0.808,2.144
-0.889,0.820,0.228,1.250,-0.819,2.207
-0.847,0.810,0.220,1.237,-0.821,2.255
-0.809,0.802,0.210,1.222,-0.814,2.289
-0.775,0.796,0.202,1.205,-0.801,2.309
-0.746,0.792,0.196,1.187,-0.784,2.317
-0.719,0.788,0.190,1.169,-0.764,2.315
-0.696,0.784,0.187,1.149,-0.744,2.305
-0.676,0.781,0.181,1.130,-0.723,2.290
-0.659,0.778,0.174,1.111,-0.702,2.272
-0.643,0.774,0.168,1.091,-0.682,2.252
-0.627,0.773,0.161,1.072,-0.661,2.234
-0.611,0.774,0.153,1.053,-0.636,2.218
-0.597,0.777,0.144,1.031,-0.609,2.204
-0.536,0.800,0.109,0.923,-0.451,2.184
-0.524,0.802,0.102,0.895,-0.412,2.188
-0.512,0.806,0.098,0.867,-0.374,2.198
-0.500,0.806,0.094,0.839,-0.337,2.210
-0.488,0.805,0.090,0.810,-0.303,2.226
-0.477,0.805,0.086,0.781,-0.272,2.246
-0.467,0.805,0.086,0.752,-0.248,2.266
-0.457,0.805,0.085,0.722,-0.230,2.289
-0.446,0.807,0.082,0.691,-0.221,2.314
-0.433,0.808,0.080,0.659,-0.220,2.341
-0.422,0.807,0.079,0.627,-0.226,2.370
-0.408,0.808,0.080,0.594,-0.237,2.403
-0.393,0.807,0.080,0.558,-0.253,2.435
-0.376,0.806,0.078,0.524,-0.274,2.468
-0.360,0.804,0.078,0.488,-0.300,2.499
-0.342,0.802,0.079,0.454,-0.330,2.526
-0.323,0.803,0.080,0.421,-0.364,2.550

1.081,0.646,0.198,0.447,1.046,-1.769
1.134,0.597,0.203,0.437,0.981,-2.036
1.176,0.549,0.209,0.421,0.881,-2.332
1.210,0.497,0.216,0.397,0.755,-2.659
1.235,0.437,0.223,0.368,0.618,-3.020
1.245,0.377,0.230,0.336,0.477,-3.409
1.243,0.315,0.240,0.302,0.336,-3.823
1.230,0.249,0.247,0.270,0.211,-4.256
1.210,0.182,0.258,0.245,0.102,-4.700
1.182,0.119,0.268,0.222,0.005,-5.143
1.146,0.066,0.273,0.209,-0.079,-5.580
1.103,0.020,0.272,0.202,-0.146,-6.006
1.055,-0.018,0.266,0.205,-0.188,-6.416
0.998,-0.048,0.259,0.220,-0.203,-6.807
0.933,-0.074,0.247,0.250,-0.188,-7.174
0.861,-0.096,0.234,0.294,-0.145,-7.516
0.780,-0.117,0.219,0.350,-0.080,-7.831
0.688,-0.133,0.208,0.416,-0.006,-8.116
0.585,-0.149,0.196,0.490,0.070,-8.369
0.469,-0.160,0.188,0.565,0.136,-8.594
0.337,-0.165,0.179,0.635,0.189,-8.793
0.186,-0.159,0.171,0.693,0.221,-8.971
0.018,-0.139,0.162,0.733,0.227,-9.134
-0.166,-0.102,0.151,0.750,0.198,-9.282
-1.023,0.168,0.048,0.492,-0.380,-9.647
-1.216,0.254,0.008,0.360,-0.571,-9.635
-1.403,0.343,-0.032,0.203,-0.743,-9.575
-1.583,0.435,-0.073,0.027,-0.884,-9.456
-1.754,0.534,-0.110,-0.171,-1.001,-9.269
-1.904,0.638,-0.142,-0.382,-1.107,-9.008
-2.064,0.731,-0.164,-0.596,-1.224,-8.669
-2.219,0.796,-0.174,-0.812,-1.324,-8.270
-2.400,0.872,-0.177,-1.093,-1.413,-7.645
-2.503,0.928,-0.169,-1.290,-1.454,-7.110
-2.591,0.985,-0.151,-1.469,-1.482,-6.527
-2.653,1.033,-0.117,-1.625,-1.505,-5.909
-2.708,1.072,-0.076,-1.750,-1.523,-5.273
