aX,aY,aZ,gX,gY,gZ
-0.269,0.887,0.855,0.483,-0.039,-0.009
-0.321,0.895,0.875,0.512,-0.074,0.134
-0.375,0.906,0.893,0.551,-0.146,0.298
-0.420,0.915,0.909,0.602,-0.243,0.477
-0.459,0.922,0.922,0.662,-0.355,0.670
-0.495,0.928,0.929,0.733,-0.468,0.876
-0.527,0.929,0.932,0.814,-0.566,1.089
-0.555,0.926,0.930,0.900,-0.641,1.308
-0.575,0.921,0.929,0.991,-0.699,1.536
-0.594,0.917,0.928,1.080,-0.750,1.771
-0.610,0.914,0.927,1.163,-0.806,2.010
-0.624,0.911,0.927,1.240,-0.868,2.253
-0.635,0.904,0.921,1.308,-0.937,2.496
-0.641,0.892,0.910,1.370,-1.009,2.736
-0.641,0.877,0.897,1.426,-1.083,2.978
-0.634,0.859,0.879,1.477,-1.162,3.217
-0.617,0.839,0.856,1.525,-1.240,3.454
-0.592,0.816,0.827,1.571,-1.315,3.689
-0.555,0.789,0.794,1.614,-1.379,3.918
-0.322,0.598,0.653,1.762,-1.587,4.811
-0.248,0.562,0.620,1.782,-1.607,4.968
-0.163,0.533,0.585,1.794,-1.614,5.099
-0.076,0.505,0.553,1.800,-1.608,5.203
0.010,0.477,0.523,1.801,-1.585,5.281
0.089,0.453,0.497,1.795,-1.543,5.335
0.159,0.433,0.474,1.783,-1.488,5.364
0.218,0.416,0.454,1.762,-1.425,5.367
0.275,0.401,0.434,1.733,-1.362,5.347
0.332,0.395,0.415,1.697,-1.302,5.304
0.387,0.386,0.394,1.655,-1.238,5.248
0.437,0.379,0.372,1.612,-1.172,5.179
0.490,0.374,0.351,1.567,-1.101,5.101
0.540,0.366,0.328,1.521,-1.023,5.014
0.589,0.358,0.307,1.474,-0.940,4.921
0.636,0.353,0.290,1.424,-0.855,4.823
0.683,0.350,0.274,1.374,-0.763,4.717
0.729,0.345,0.258,1.324,-0.664,4.604
0.769,0.333,0.243,1.274,-0.562,4.485
0.812,0.320,0.233,1.225,-0.460,4.361
0.856,0.312,0.228,1.176,-0.355,4.235
0.900,0.297,0.222,1.129,-0.254,4.105
0.940,0.284,0.221,1.084,-0.161,3.973
0.981,0.278,0.225,1.040,-0.080,3.835
1.023,0.274,0.229,0.994,-0.006,3.691
1.066,0.272,0.232,0.947,0.059,3.536
1.108,0.269,0.241,0.898,0.114,3.371
1.146,0.268,0.252,0.848,0.165,3.199
1.267,0.240,0.311,0.607,0.271,2.342
1.296,0.235,0.324,0.546,0.274,2.122
1.315,0.237,0.341,0.481,0.271,1.900
1.334,0.225,0.353,0.414,0.264,1.669
1.356,0.229,0.371,0.351,0.255,1.437
1.369,0.234,0.388,0.284,0.241,1.211
1.379,0.236,0.398,0.219,0.225,0.992
1.387,0.240,0.410,0.156,0.211,0.777
1.395,0.242,0.421,0.098,0.200,0.566
1.403,0.247,0.430,0.047,0.192,0.360
1.410,0.247,0.436,0.002,0.181,0.160
1.418,0.247,0.438,-0.033,0.169,-0.034
1.426,0.247,0.437,-0.060,0.154,-0.218
1.438,0.245,0.430,-0.076,0.143,-0.396
1.453,0.242,0.421,-0.084,0.139,-0.567
1.468,0.240,0.412,-0.085,0.149,-0.734
1.481,0.237,0.400,-0.081,0.172,-0.899
1.494,0.238,0.389,-0.072,0.210,-1.064
1.500,0.239,0.383,-0.066,0.242,-1.175
1.505,0.240,0.377,-0.057,0.303,-1.343
1.502,0.238,0.372,-0.052,0.376,-1.511
1.489,0.233,0.373,-0.051,0.454,-1.681
1.471,0.229,0.381,-0.055,0.536,-1.854
1.447,0.224,0.394,-0.064,0.614,-2.025
1.416,0.222,0.408,-0.077,0.684,-2.200
1.381,0.221,0.418,-0.093,0.745,-2.374
1.343,0.219,0.434,-0.111,0.795,-2.548
1.125,0.236,0.495,-0.189,0.893,-3.277
1.077,0.250,0.505,-0.202,0.888,-3.402
1.029,0.262,0.516,-0.215,0.875,-3.514
0.986,0.272,0.527,-0.225,0.860,-3.611
0.946,0.287,0.537,-0.234,0.846,-3.693
0.918,0.299,0.544,-0.238,0.838,-3.741

-0.353,1.011,0.750,0.259,0.435,0.176
-0.429,1.045,0.776,0.315,0.440,0.292
-0.509,1.076,0.799,0.382,0.438,0.435
-0.593,1.106,0.824,0.457,0.424,0.610
-0.672,1.131,0.846,0.538,0.394,0.816
-0.742,1.151,0.867,0.624,0.348,1.055
-0.805,1.169,0.884,0.710,0.276,1.321
-0.863,1.182,0.889,0.795,0.181,1.606
-0.912,1.187,0.888,0.879,0.087,1.904
-0.959,1.185,0.885,0.960,0.005,2.208
-0.990,1.173,0.884,1.038,-0.082,2.515
-1.019,1.166,0.880,1.107,-0.172,2.831
-1.040,1.159,0.873,1.149,-0.226,3.049
-1.076,1.144,0.860,1.209,-0.300,3.384
-1.103,1.113,0.845,1.265,-0.380,3.726
-1.118,1.070,0.827,1.319,-0.466,4.079
-1.119,1.021,0.802,1.366,-0.551,4.444
-1.106,0.963,0.771,1.412,-0.628,4.816
-1.081,0.899,0.737,1.456,-0.703,5.187
-1.027,0.833,0.702,1.496,-0.783,5.549
-0.944,0.763,0.662,1.529,-0.868,5.898
-0.847,0.689,0.622,1.554,-0.958,6.226
-0.736,0.607,0.580,1.565,-1.047,6.522
-0.611,0.534,0.535,1.561,-1.130,6.780
-0.472,0.483,0.490,1.542,-1.205,6.992
0.129,0.243,0.298,1.394,-1.342,7.373
0.241,0.205,0.266,1.357,-1.372,7.345
0.348,0.192,0.235,1.319,-1.394,7.284
0.415,0.194,0.213,1.292,-1.396,7.223
0.504,0.211,0.182,1.249,-1.383,7.102
0.585,0.219,0.150,1.205,-1.348,6.945
0.659,0.215,0.122,1.159,-1.292,6.764
0.728,0.208,0.093,1.114,-1.220,6.566
0.791,0.203,0.066,1.070,-1.121,6.354
0.854,0.202,0.039,1.027,-0.991,6.131
0.918,0.204,0.016,0.985,-0.829,5.900
0.975,0.207,-0.002,0.946,-0.633,5.663
1.028,0.210,-0.015,0.910,-0.404,5.422
1.079,0.214,-0.022,0.874,-0.147,5.179
1.124,0.214,-0.024,0.839,0.136,4.932
1.165,0.207,-0.019,0.806,0.437,4.683
1.209,0.206,-0.007,0.774,0.748,4.434
1.251,0.222,0.014,0.743,1.055,4.186
1.286,0.244,0.044,0.713,1.338,3.936
1.311,0.262,0.079,0.682,1.579,3.682
1.328,0.269,0.123,0.647,1.767,3.426
1.339,0.268,0.175,0.607,1.888,3.170
1.349,0.267,0.229,0.561,1.926,2.916
1.360,0.273,0.280,0.510,1.886,2.659
1.372,0.282,0.324,0.452,1.787,2.397
1.388,0.292,0.360,0.394,1.651,2.123
1.401,0.299,0.389,0.335,1.492,1.839
1.413,0.304,0.411,0.277,1.318,1.546
1.426,0.311,0.427,0.219,1.129,1.247
1.438,0.320,0.435,0.164,0.934,0.947
1.487,0.359,0.375,-0.066,0.147,-0.285
1.494,0.363,0.347,-0.116,0.021,-0.543
1.502,0.384,0.323,-0.168,-0.074,-0.791
1.501,0.377,0.295,-0.229,-0.150,-1.029
1.503,0.371,0.267,-0.289,-0.199,-1.264
1.500,0.383,0.249,-0.354,-0.226,-1.490
1.488,0.390,0.232,-0.429,-0.235,-1.701
1.466,0.388,0.220,-0.509,-0.230,-1.900
1.440,0.381,0.211,-0.595,-0.213,-2.090
1.408,0.373,0.209,-0.686,-0.190,-2.275
1.373,0.362,0.213,-0.782,-0.166,-2.454
1.332,0.355,0.219,-0.880,-0.143,-2.628
1.287,0.349,0.229,-0.981,-0.122,-2.793
1.239,0.340,0.243,-1.082,-0.110,-2.949
1.189,0.330,0.259,-1.183,-0.100,-3.099
1.142,0.319,0.276,-1.282,-0.095,-3.241
1.096,0.311,0.298,-1.377,-0.089,-3.375
1.049,0.307,0.323,-1.465,-0.084,-3.496
1.001,0.307,0.346,-1.547,-0.077,-3.605
0.958,0.311,0.368,-1.622,-0.066,-3.699
0.786,0.343,0.464,-1.811,0.083,-3.959
0.745,0.352,0.485,-1.822,0.139,-3.989
0.704,0.365,0.507,-1.819,0.200,-4.009
0.666,0.381,0.528,-1.803,0.261,-4.021
0.629,0.399,0.546,-1.776,0.319,-4.023

-0.363,0.921,0.731,0.111,0.218,0.150
-0.406,0.939,0.750,0.134,0.226,0.190
-0.477,0.969,0.782,0.177,0.230,0.267
-0.551,1.002,0.813,0.226,0.220,0.367
-0.626,1.037,0.844,0.282,0.194,0.496
-0.706,1.072,0.872,0.344,0.139,0.651
-0.781,1.103,0.893,0.412,0.054,0.838
-0.840,1.127,0.911,0.484,-0.060,1.054
-0.889,1.150,0.923,0.557,-0.201,1.298
-0.927,1.162,0.926,0.630,-0.352,1.564
-0.957,1.169,0.923,0.700,-0.510,1.843
-0.991,1.178,0.917,0.766,-0.654,2.124
-1.033,1.177,0.906,0.829,-0.763,2.399
-1.069,1.160,0.892,0.890,-0.846,2.664
-1.089,1.123,0.880,0.948,-0.914,2.932
-1.095,1.080,0.868,1.003,-0.978,3.220
-1.102,1.050,0.852,1.053,-1.040,3.530
-1.106,1.026,0.828,1.100,-1.098,3.851
-1.105,1.008,0.803,1.148,-1.154,4.177
-1.096,0.983,0.777,1.194,-1.202,4.491
-1.060,0.936,0.754,1.240,-1.238,4.792
-1.017,0.880,0.727,1.283,-1.262,5.090
-0.972,0.821,0.694,1.325,-1.277,5.379
-0.920,0.761,0.663,1.363,-1.282,5.649
-0.633,0.523,0.539,1.490,-1.229,6.543
-0.558,0.473,0.511,1.510,-1.196,6.676
-0.487,0.418,0.485,1.525,-1.159,6.781
-0.413,0.359,0.456,1.536,-1.120,6.861
-0.335,0.303,0.424,1.541,-1.074,6.919
-0.250,0.249,0.390,1.542,-1.023,6.955
-0.156,0.201,0.352,1.537,-0.959,6.972
-0.054,0.165,0.309,1.526,-0.878,6.969
0.054,0.144,0.270,1.510,-0.778,6.941
0.172,0.146,0.233,1.488,-0.659,6.890
0.281,0.151,0.205,1.461,-0.519,6.817
0.376,0.147,0.175,1.428,-0.367,6.720
0.463,0.128,0.162,1.388,-0.205,6.596
0.548,0.110,0.151,1.337,-0.046,6.450
0.637,0.110,0.144,1.273,0.098,6.283
0.725,0.116,0.138,1.199,0.238,6.097
0.808,0.135,0.135,1.122,0.372,5.892
0.880,0.154,0.136,1.039,0.495,5.669
0.940,0.172,0.141,0.954,0.597,5.430
0.996,0.190,0.149,0.864,0.674,5.176
1.043,0.206,0.164,0.774,0.725,4.912
1.086,0.221,0.176,0.682,0.757,4.640
1.122,0.231,0.191,0.591,0.767,4.364
1.153,0.237,0.208,0.500,0.747,4.084
1.182,0.248,0.223,0.409,0.703,3.801
1.210,0.264,0.236,0.319,0.648,3.516
1.235,0.278,0.246,0.230,0.589,3.230
